# ID , Name ,logM SMBB , low err logM , up err logM ,T SMBB , low err T, up err T, beta SMBB , low err beta , up err  
38,JINGLE38,7.418328,0.040858,0.038933,27.425939,1.683138,1.911,1.472987,0.157366,0.165311
39,JINGLE39,7.666208,0.057552,0.057161,23.746111,1.825351,1.792014,1.420976,0.186644,0.223135
40,JINGLE40,8.326388,0.043551,0.043346,20.901429,1.351045,1.326283,1.715493,0.187161,0.199449
41,JINGLE41,8.369853,0.031942,0.032283,21.748922,1.067765,1.054486,1.813576,0.142394,0.154022
42,JINGLE42,7.479087,0.042603,0.040497,24.006165,1.559061,1.656514,1.41828,0.194095,0.195418
43,JINGLE43,8.601474,0.02608,0.026111,23.243868,0.997567,0.938699,1.857408,0.109907,0.120478
44,JINGLE44,8.368467,0.045661,0.047785,18.016008,1.130709,1.179755,2.064704,0.208759,0.221417
45,JINGLE45,8.482228,0.048758,0.048423,18.733977,1.171394,1.282666,1.881434,0.184306,0.199666
46,JINGLE46,7.418332,0.077852,0.083931,24.525945,2.615585,2.536896,1.23573,0.270033,0.321189
47,JINGLE47,8.123424,0.030971,0.029586,24.177379,1.224304,1.275046,1.913953,0.134697,0.151616
48,JINGLE48,8.060015,0.034202,0.033951,24.687162,1.307175,1.427128,1.985543,0.154575,0.159621
49,JINGLE49,8.089042,0.038814,0.040052,23.963248,1.448825,1.401576,1.628384,0.164719,0.180413
50,JINGLE50,7.157697,0.090064,0.099767,26.203227,3.23266,3.309496,0.704432,0.313076,0.361255
51,JINGLE51,7.955771,0.033634,0.034039,24.197012,1.25783,1.331574,1.935769,0.153514,0.164223
52,JINGLE52,7.639958,0.053175,0.059658,24.347394,1.839098,1.856469,1.446369,0.212055,0.218248
53,JINGLE53,7.388189,0.065107,0.06307,24.679221,2.071711,2.067706,1.578495,0.253663,0.293689
54,JINGLE54,8.357945,0.045369,0.046322,18.724265,1.184778,1.183971,1.968168,0.197295,0.206525
55,JINGLE55,8.275685,0.032789,0.03075,22.776486,1.127974,1.22792,2.091199,0.146724,0.155693
56,JINGLE56,8.177146,0.036648,0.036971,24.570785,1.437948,1.637854,1.740768,0.18436,0.183117
57,JINGLE57,7.88244,0.057482,0.060405,20.92153,1.474389,1.704457,1.656221,0.212119,0.23763
58,JINGLE58,7.545758,0.059435,0.060666,25.062914,1.882412,2.208756,1.205116,0.219724,0.215515
59,JINGLE59,7.636679,0.03533,0.036775,24.795034,1.384164,1.413281,1.549328,0.156428,0.168472
60,JINGLE60,7.730317,0.058379,0.062868,27.233704,2.303063,2.89022,0.881216,0.23126,0.253295
61,JINGLE61,7.641603,0.052428,0.052728,23.167901,1.853668,1.974002,1.566774,0.24734,0.259472
63,JINGLE63,7.110938,0.085726,0.082136,29.683255,2.913038,3.553242,0.725272,0.298861,0.285758
64,JINGLE64,7.599553,0.05022,0.049953,27.35761,1.978009,2.449581,1.324261,0.234705,0.223498
65,JINGLE65,7.936023,0.035055,0.035629,23.314876,1.144933,1.217561,1.828201,0.161567,0.165372
66,JINGLE66,8.399382,0.045759,0.045362,22.575471,1.470516,1.564427,1.453358,0.184363,0.19008
67,JINGLE67,7.723278,0.035796,0.036488,22.004604,1.2158,1.227983,1.773312,0.164292,0.178354
68,JINGLE68,7.933946,0.042706,0.045325,23.434996,1.494495,1.576822,1.524324,0.183268,0.210541
69,JINGLE69,7.552037,0.063837,0.059089,24.898616,1.869246,2.000457,1.256858,0.197989,0.211142
70,JINGLE70,8.035279,0.044261,0.05179,22.430232,1.548689,1.627867,1.767647,0.207708,0.207954
71,JINGLE71,7.681717,0.043982,0.046854,23.743368,1.576743,1.63105,1.942292,0.209221,0.223463
72,JINGLE72,8.143884,0.029596,0.028539,23.46557,1.104231,1.163645,1.849009,0.130849,0.13449
73,JINGLE73,7.749383,0.054396,0.052646,26.859891,2.163868,2.40829,1.057988,0.22613,0.227597
74,JINGLE74,7.797838,0.044128,0.043,23.741739,1.542858,1.635913,1.802355,0.192154,0.220766
75,JINGLE75,8.001245,0.054417,0.059566,21.01901,1.669337,1.531039,1.694134,0.195265,0.231523
76,JINGLE76,7.834906,0.03383,0.037477,24.844578,1.398702,1.417203,2.029522,0.173289,0.184005
77,JINGLE77,8.142073,0.034747,0.033104,25.695415,1.476931,1.730552,1.832847,0.178931,0.168761
78,JINGLE78,7.59051,0.064343,0.064475,24.016029,1.876239,1.993903,1.496151,0.225145,0.243777
79,JINGLE79,7.496355,0.069378,0.06896,24.8219,1.985271,2.101097,1.585794,0.248205,0.270562
80,JINGLE80,7.67715,0.072545,0.085132,23.920413,2.325346,2.200289,1.474998,0.227024,0.251377
81,JINGLE81,7.803577,0.033828,0.033878,23.219766,1.328495,1.319359,1.903914,0.173001,0.210472
82,JINGLE82,7.616392,0.054786,0.056701,25.096222,1.888461,2.113509,1.244044,0.227802,0.233927
83,JINGLE83,8.272961,0.033266,0.03564,20.252445,1.152992,1.179063,2.034572,0.187478,0.20665
84,JINGLE84,8.037619,0.037907,0.038382,24.090493,1.305798,1.396618,1.326328,0.148502,0.163093
85,JINGLE85,7.392821,0.038141,0.040726,29.139265,1.967208,2.126645,1.275795,0.180735,0.200594
86,JINGLE86,8.215824,0.041873,0.041462,21.279578,1.358523,1.293281,1.877269,0.178338,0.198188
87,JINGLE87,8.242756,0.051356,0.055587,20.018146,1.391921,1.431561,1.899958,0.193337,0.219347
88,JINGLE88,7.881628,0.05491,0.058167,23.471747,1.706895,1.801724,1.479964,0.200299,0.220425
89,JINGLE89,8.061444,0.027805,0.029951,22.529021,1.119102,1.171,1.90524,0.177392,0.194759
90,JINGLE90,8.166738,0.050866,0.050531,21.429015,1.447035,1.595031,1.790533,0.197766,0.212395
91,JINGLE91,7.416603,0.061645,0.059066,25.762884,2.07887,2.343278,1.075702,0.218169,0.242725
92,JINGLE92,8.47926,0.053148,0.056291,17.388092,1.260909,1.201735,2.098463,0.194488,0.233998
93,JINGLE93,7.729506,0.053191,0.05033,22.786661,1.839728,1.832834,1.608533,0.252281,0.295037
94,JINGLE94,7.64119,0.07418,0.081657,25.670225,2.610244,2.960179,0.869496,0.263684,0.280738
95,JINGLE95,7.545581,0.053742,0.056799,23.653614,1.973984,2.022641,1.212487,0.225992,0.260772
96,JINGLE96,7.831772,0.083939,0.089431,21.340834,2.432372,2.477792,1.448316,0.323326,0.337684
97,JINGLE97,7.890812,0.058424,0.060353,23.723804,1.992232,2.123949,1.326066,0.242453,0.269546
98,JINGLE98,7.976368,0.04927,0.052247,23.779828,1.667466,1.729791,1.277554,0.176202,0.208107
99,JINGLE99,8.630377,0.041395,0.046996,20.592033,1.215435,1.239198,1.7261,0.174277,0.161768
100,JINGLE100,7.89679,0.019748,0.019664,22.696007,0.940609,1.107971,1.966551,0.168419,0.171454
101,JINGLE101,8.384808,0.020461,0.019566,25.661481,1.016368,1.063514,1.887796,0.117125,0.118358
102,JINGLE102,8.209113,0.023785,0.024974,23.487594,1.033306,1.011915,1.791696,0.136037,0.14849
103,JINGLE103,7.925541,0.029979,0.030467,21.38144,1.10862,1.101569,1.794887,0.168276,0.173409
104,JINGLE104,7.589384,0.063885,0.067657,25.167405,2.087402,2.468113,1.014576,0.275107,0.247821
105,JINGLE105,7.876246,0.031489,0.033458,20.443888,1.181782,1.1573,2.028213,0.205508,0.243342
106,JINGLE106,8.23406,0.039631,0.041465,24.149504,1.430273,1.53348,1.671058,0.182048,0.194784
107,JINGLE107,8.374326,0.054407,0.056909,22.27366,1.787152,1.959754,1.464704,0.242276,0.226957
108,JINGLE108,8.28035,0.028529,0.028226,25.863986,1.247502,1.385683,1.66652,0.140366,0.139653
109,JINGLE109,8.02126,0.043869,0.042155,24.77695,1.550155,1.714651,1.422928,0.187627,0.207006
110,JINGLE110,8.185015,0.102236,0.110856,20.018517,2.426116,2.755896,1.267546,0.301818,0.318921
111,JINGLE111,8.016696,0.035719,0.037454,23.913781,1.257361,1.326559,1.733939,0.166565,0.164074
112,JINGLE112,7.945566,0.079133,0.08687,23.782955,2.496398,2.537084,1.122472,0.247277,0.263657
113,JINGLE113,7.936363,0.05628,0.059631,24.37576,1.748216,1.809557,1.469496,0.231815,0.228812
114,JINGLE114,8.187445,0.043254,0.043237,23.586196,1.494515,1.645854,1.528637,0.186781,0.200584
115,JINGLE115,7.857084,0.037718,0.040245,21.886513,1.245275,1.211718,1.66629,0.175592,0.181253
116,JINGLE116,7.834738,0.061511,0.061813,22.718489,1.887224,1.890744,1.569183,0.225147,0.264068
117,JINGLE117,7.665777,0.10814,0.154277,24.065557,3.912628,3.819327,0.787323,0.26061,0.315101
118,JINGLE118,8.793043,0.023166,0.020971,25.693849,0.994784,1.09499,1.583178,0.10751,0.107081
119,JINGLE119,7.785566,0.072641,0.077919,26.600989,2.680878,3.018122,0.785129,0.273023,0.281644
120,JINGLE120,8.34214,0.114833,0.143269,18.915715,2.888075,3.209441,1.267395,0.368508,0.426329
121,JINGLE121,8.435572,0.043494,0.04359,20.699509,1.255477,1.283926,1.82272,0.17846,0.183958
122,JINGLE122,8.560149,0.039083,0.040986,20.201416,1.101361,1.163596,1.985854,0.163688,0.17725
123,JINGLE123,8.143935,0.03274,0.032073,26.222699,1.463237,1.6506,1.419992,0.171473,0.175888
124,JINGLE124,7.668021,0.102621,0.119423,23.998849,2.87684,2.847146,1.299125,0.295078,0.312222
125,JINGLE125,8.307447,0.037771,0.037426,22.009967,1.342731,1.378778,1.805219,0.190679,0.205732
126,JINGLE126,8.262578,0.04786,0.05061,22.39037,1.642297,1.786517,1.601543,0.222332,0.242276
127,JINGLE127,8.401539,0.035696,0.03539,21.515559,1.135953,1.247873,1.884842,0.179508,0.16894
128,JINGLE128,8.360623,0.042209,0.047371,19.632489,1.208362,1.243952,2.008958,0.189438,0.21011
129,JINGLE129,7.961378,0.057019,0.061912,24.435451,1.910367,2.096169,1.397762,0.245364,0.233739
130,JINGLE130,7.372311,0.137329,0.188767,25.584161,4.572221,4.240181,0.66808,0.371221,0.434196
131,JINGLE131,8.029369,0.025625,0.025913,22.249185,0.834416,0.821095,1.817466,0.124476,0.13722
132,JINGLE132,8.567601,0.047647,0.048216,21.453366,1.598011,1.59815,1.697425,0.209049,0.233893
133,JINGLE133,8.213905,0.03405,0.034092,24.197702,1.409098,1.495933,1.612299,0.180299,0.187855
134,JINGLE134,8.125479,0.034231,0.037507,21.292061,1.072137,1.116619,1.498159,0.145539,0.1579
135,JINGLE135,8.032625,0.036258,0.033939,24.855796,1.340276,1.491617,1.620742,0.18108,0.175789
136,JINGLE136,8.291323,0.020023,0.020215,19.554094,0.625309,0.608136,2.170868,0.114378,0.117468
137,JINGLE137,7.371725,0.096948,0.101072,25.242055,2.771216,3.272106,1.04749,0.355809,0.350353
138,JINGLE138,7.829003,0.063163,0.06482,24.37843,1.764946,2.074887,1.463153,0.219977,0.231793
139,JINGLE139,8.168415,0.046089,0.054185,20.744131,1.63724,1.646307,1.944141,0.247598,0.28592
140,JINGLE140,7.752756,0.064786,0.068693,22.931391,2.202818,2.240991,1.206099,0.271175,0.292846
141,JINGLE141,8.08351,0.041247,0.041373,24.523913,1.502888,1.566862,1.671339,0.191774,0.194787
142,JINGLE142,7.514209,0.106767,0.11598,25.784615,3.425406,3.561972,0.813053,0.353535,0.335116
143,JINGLE143,8.035284,0.045515,0.043093,22.351833,1.498746,1.56473,1.919809,0.217167,0.252454
144,JINGLE144,8.175119,0.018993,0.020051,22.063659,0.700335,0.736097,2.092254,0.112425,0.118512
145,JINGLE145,7.165643,0.066744,0.064041,26.861787,2.180282,2.552857,1.13869,0.22363,0.259019
146,JINGLE146,8.063323,0.019035,0.019901,25.58005,0.91428,1.002118,1.74085,0.111728,0.109632
147,JINGLE147,8.344746,0.024148,0.025661,24.914452,1.285334,1.407653,1.903347,0.162905,0.179477
148,JINGLE148,7.959643,0.022251,0.021423,23.442311,1.009861,0.99614,2.006586,0.149347,0.159194
