,x,y,xerr,yerr
106,0.53693503,8.321259,0.02937449,0.18471248
107,0.61476195,9.211371,0.015654806,0.17088723
108,0.6654388,8.758209,0.008484628,0.17242551
109,0.55154234,8.876193,0.006629773,0.16928066
110,0.60543597,8.774633,0.0065906364,0.17112972
111,0.59850436,8.605471,0.0057913256,0.17665002
112,0.5526103,8.591155,0.015472466,0.17436199
113,0.54045355,8.676394,0.0052296934,0.17629126
114,0.5232183,8.875629,0.028827399,0.17085057
115,0.7186412,9.036141,0.011284837,0.17038788
116,0.49041325,8.2814245,0.0078030257,0.18188015
117,0.5474202,8.68663,0.005453954,0.17429282
118,0.48676303,8.889852,0.011675714,0.17511119
119,0.6158842,8.6822195,0.020927692,0.17442141
120,0.5812303,7.9810047,0.04724666,0.19453874
121,0.51204056,8.786179,0.004238586,0.19109036
122,0.628776,8.669089,0.010682735,0.17427266
123,0.54188013,8.477184,0.0074552926,0.18033394
124,0.5606415,8.559749,0.011005586,0.17758344
125,0.52095944,8.612782,0.010315287,0.18135849
126,0.6210485,8.469827,0.009943948,0.17683804
127,0.5077238,8.593751,0.011988126,0.18874472
128,0.56566167,9.204224,0.008692335,0.17128874
129,0.6681364,8.853238,0.008536337,0.17133151
130,0.5371499,8.967154,0.011595496,0.17089106
131,0.6660246,8.804734,0.010122661,0.17044407
132,0.54514647,8.583405,0.008203177,0.19890015
133,0.6808144,8.887247,0.03165115,0.17296077
134,0.53166735,8.276866,0.008542901,0.18828543
135,0.5638516,8.263564,0.01628057,0.18804124
136,0.8523852,9.304859,0.008074604,0.16921227
137,0.64297676,8.633658,0.013697979,0.18056029
138,0.5577082,8.493833,0.01108223,0.17853063
139,0.59131885,9.193141,0.0049811504,0.16892609
140,0.60581636,8.629886,0.01984582,0.17622201
141,0.4841965,8.236977,0.014969283,0.20568475
142,0.509404,8.197772,0.017294047,0.18016815
143,0.60102445,8.605152,0.008484482,0.18560983
144,0.5502249,8.144483,0.056290865,0.2016286
145,0.6102845,8.0660305,0.022842875,0.20663525
146,0.53200597,8.461519,0.010093691,0.1817911
147,0.5990623,8.7460985,0.0070274468,0.17339832
148,0.5312218,8.03205,0.01941602,0.19934845
149,0.60290045,8.720833,0.0147872465,0.1740719
150,0.54041725,8.718762,0.008563153,0.18373977
151,0.5759174,8.787152,0.03983112,0.17327407
152,0.5447766,8.780361,0.0055373893,0.17991379
153,0.5070966,7.984461,0.008023769,0.18527381
154,0.4747173,8.196213,0.06611917,0.20517342
155,0.542996,8.256053,0.02889052,0.2150209
156,0.6608031,8.756582,0.020737633,0.17377241
157,0.5038873,8.062322,0.023459459,0.19325711
158,0.63793063,8.422391,0.05035864,0.1864017
159,0.5158906,8.479916,0.018294796,0.18674286
160,0.6492024,8.134079,0.020415569,0.18690813
161,0.5387264,8.513724,0.010109661,0.18287225
162,0.52749693,8.583894,0.05149142,0.19504
163,0.6633691,8.217387,0.01832604,0.1799983
164,0.6478643,9.030151,0.019714508,0.17588681
165,0.5559106,8.428382,0.014294371,0.18843062
166,0.6866751,8.745473,0.01124223,0.17612623
167,0.57241756,8.391089,0.013328685,0.18785588
168,0.4960193,8.347869,0.009048186,0.19165291
169,0.6065651,8.437128,0.007271574,0.17463456
170,0.5796883,8.586819,0.016489767,0.17628247
171,0.5107478,8.524153,0.028684137,0.17649321
172,0.48374507,8.382007,0.015329544,0.19086231
173,0.6053056,8.64458,0.009102606,0.1774556
174,0.68323344,8.841988,0.012522336,0.17330097
175,0.57214165,8.627853,0.022194117,0.18185852
