# HRS index,objID,ra,dec,run,rerun,camcol,field,type,expAB_r
131,123766197493701,186.0230229727,7.0412766801,3842,301,2,33,GALAXY,0.9208937
132,123766197440014,186.0319337309,6.6066915435,3842,301,1,33,GALAXY,0.7441131
133,123766522569523,186.0463304237,31.5219016803,4599,301,1,107,GALAXY,0.3044133
134,123766197279660,186.0612182968,8.5360765675,3841,301,6,141,GALAXY,0.8006067
136,123766197547401,186.2287914606,7.4447805616,3842,301,3,35,GALAXY,0.6486146
137,123766181173854,186.2309737379,11.7042297115,3804,301,2,190,GALAXY,0.7257339
139,123765488126139,186.3258845456,5.7418744953,2190,301,5,29,GALAXY,0.5554585
140,123766867562273,186.3253997311,4.9251374875,5402,301,3,31,GALAXY,0.7577967
141,123765849281895,186.342353183,10.016819136,3031,301,4,440,GALAXY,0.6728117
142,123766862301305,186.356334961,16.4701192941,5390,301,1,87,GALAXY,0.5737622
143,123766197118619,186.4273367163,7.2165722684,3841,301,3,144,GALAXY,0.1632496
144,123766181281235,186.4446860479,12.6618687506,3804,301,4,191,GALAXY,0.4397584
145,123765849335588,186.4611307702,10.4590533146,3031,301,5,441,GALAXY,0.6694551
147,123765175508691,186.4931797593,3.4302706836,1462,301,6,408,GALAXY,0.2153568
149,123765863076882,186.5321350848,13.113620315,3063,301,5,44,GALAXY,0.9367958
151,123766181281242,186.634350433,12.6106483446,3804,301,4,192,GALAXY,0.7221311
152,123765487911404,186.6503252858,3.9647027208,2190,301,1,31,GALAXY,0.8721878
153,123766197226006,186.6947268494,7.9189631133,3841,301,5,146,GALAXY,0.8872724
154,123765849120847,186.6967882183,8.8845895254,3031,301,1,442,GALAXY,0.8395243
155,123765849228227,186.7109360001,9.5842773572,3031,301,3,443,GALAXY,0.5263161
156,123766252576663,186.7351163349,15.0473688321,3970,301,4,34,GALAXY,0.4871543
157,123765173629682,186.7437658983,2.4942934053,1458,301,3,414,GALAXY,0.3999702
158,123765512662083,186.7874441868,5.8800881711,2247,301,6,173,GALAXY,0.2111244
160,123766197011264,186.8600288136,6.2627681193,3841,301,1,147,GALAXY,0.702791
161,123766223907783,186.860441906,11.1076967814,3903,301,6,38,GALAXY,0.5300115
162,123766181334942,186.9186284806,13.079008295,3804,301,5,194,GALAXY,0.5652487
164,123765862969528,186.9732133624,12.2933088645,3063,301,3,47,GALAXY,0.6721983
165,123765488126172,186.9807340122,5.7211477069,2190,301,5,34,GALAXY,0.204118
166,123766223746728,187.0161675192,9.8037592728,3903,301,3,39,GALAXY,0.6700657
167,123766223693047,187.0663798776,9.436316746,3903,301,2,40,GALAXY,0.3494101
168,123766197708495,187.0782077921,8.7294219006,3842,301,6,40,GALAXY,0.461078
169,123766859133452,187.1137599143,18.4150373245,5382,301,6,39,GALAXY,0.6897069
170,123766858972391,187.1232806963,17.085010692,5382,301,3,39,GALAXY,0.7056108
171,123765849174560,187.1688312981,9.2594624739,3031,301,2,446,GALAXY,0.6187177
172,123766252576683,187.1802492539,14.9995196698,3970,301,4,37,GALAXY,0.5071393
173,123765173790763,187.2460269772,3.5706320709,1458,301,6,417,GALAXY,0.8249179
175,123766195079243,187.2625348083,13.1838141417,3836,301,5,256,GALAXY,0.6675147
176,123765849120879,187.3667917087,8.7499316966,3031,301,1,447,GALAXY,0.5408431
177,123766197601134,187.40739542,7.8241085506,3842,301,4,42,GALAXY,0.6846184
178,123765478677991,187.4448598044,8.0004698259,2168,301,5,148,GALAXY,0.8211697
179,123766181388655,187.4537703591,13.4294708331,3804,301,6,198,GALAXY,0.6241196
180,123766195132937,187.5091240952,13.6365581228,3836,301,6,257,GALAXY,0.6835737
181,123765862969554,187.5725655185,12.3285529486,3063,301,3,51,GALAXY,0.8372726
182,123765512447374,187.6115911816,4.2465728628,2247,301,2,179,GALAXY,0.5418034
184,123765862862186,187.7379714654,11.4835102384,3063,301,1,52,GALAXY,0.4897003
185,123765478678004,187.7487942795,8.0779348507,2168,301,5,150,GALAXY,0.964439
186,123766181655871,188.8774217307,12.2208268654,3805,301,3,12,GALAXY,0.3777308
187,123765512393700,187.9116482911,3.9379721222,2247,301,1,181,GALAXY,0.9855766
188,123766862355058,187.9148449264,16.8526406725,5390,301,2,97,GALAXY,0.7756299
189,123766252576716,187.9782604285,15.1240817495,3970,301,4,42,GALAXY,0.6596085
191,123766858918743,188.0134598647,16.6876511273,5382,301,2,45,GALAXY,0.5914685
192,123766181388675,188.0438702647,13.4196316004,3804,301,6,201,GALAXY,0.7311469
193,123766428939289,188.1745298777,14.0504323757,4381,301,1,115,GALAXY,0.8187298
194,123764870457917,188.1896116393,0.1151343533,752,301,4,298,GALAXY,0.1525966
195,123766106926462,188.2814044296,14.5749450174,3631,301,3,473,GALAXY,0.4702268
196,123766197708554,188.3760472951,8.654744831,3842,301,6,49,GALAXY,0.8336967
197,123765849174612,188.4154574967,9.1750178155,3031,301,2,454,GALAXY,0.222453
198,123766725455400,188.4630680477,30.2774739763,5071,301,4,467,GALAXY,0.5642561
199,123766429100363,188.4860838509,15.3548125646,4381,301,4,117,GALAXY,0.5311037
200,123766197601187,188.512442955,7.6993074048,3842,301,4,50,GALAXY,0.672277
201,123765175401408,188.5351767443,2.6537644347,1462,301,4,422,GALAXY,0.4629676
203,123766197440125,188.5812857567,6.4660943704,3842,301,1,50,GALAXY,0.9501265
204,123765934373641,188.5845183403,8.1980024387,3229,301,5,90,GALAXY,0.620479
205,123765175347721,188.6126140824,2.1881492047,1462,301,3,422,GALAXY,0.6808406
206,123766197118717,188.6640895562,7.1587818012,3841,301,3,159,GALAXY,0.3873078
210,123766181816972,189.7669701743,13.3636332605,3805,301,6,18,GALAXY,0.5796983
212,123766829713202,189.0339494342,19.3226967558,5314,301,2,81,GALAXY,0.8061308
213,123766791274234,189.0865324989,25.9876569257,5224,301,6,232,GALAXY,0.3862925
214,123765862862245,189.1124495407,11.4392003203,3063,301,1,61,GALAXY,0.4853418
215,123766181548510,189.1362545679,11.2579687361,3805,301,1,14,GALAXY,0.8234755
216,123766181548510,189.1427568775,11.2388643368,3805,301,1,14,GALAXY,0.529182
218,123766197118737,189.2224266444,7.2465954982,3841,301,3,162,GALAXY,0.4811286
219,123765849228339,189.3773365216,9.5550749211,3031,301,3,460,GALAXY,0.7134485
220,123765862915952,189.4313816647,11.8181956741,3063,301,2,64,GALAXY,0.8103428
221,123765488072589,189.4516125498,5.3685262308,2190,301,4,50,GALAXY,0.7073007
222,123766195079342,189.57447332,13.1099013303,3836,301,5,271,GALAXY,0.7544778
223,123766197601232,189.5867348888,7.8913013098,3842,301,4,57,GALAXY,0.1618037
224,123765512447459,189.6179439027,4.3187978348,2247,301,2,192,GALAXY,0.4154678
226,123765512662214,189.8018031413,6.012293628,2247,301,6,193,GALAXY,0.5408857
227,123764872069815,189.828074142,-0.5319465337,756,301,2,494,GALAXY,0.2663274
229,123766181763292,189.950070547,12.9739673455,3805,301,5,19,GALAXY,0.4948418
230,123766429100429,189.9663121381,15.2977585971,4381,301,4,127,GALAXY,0.6691434
231,123766223800546,189.9831278986,10.1761466887,3903,301,4,59,GALAXY,0.7675211
232,123765862915985,190.2397291456,11.9123462196,3063,301,2,69,GALAXY,0.4941998
234,123765849282065,190.3053699609,10.1556667082,3031,301,4,466,GALAXY,0.7732576
235,123766197547578,190.3864517422,7.3148806215,3842,301,3,62,GALAXY,0.8666654
237,123767176532512,190.6296772416,3.9602823238,6121,301,6,188,GALAXY,0.8109673
238,123767176478596,190.6360950899,-1.3507302837,6121,301,5,153,GALAXY,0.7728435
239,123766252469453,190.672695445,14.2974987905,3970,301,2,59,GALAXY,0.2754647
240,123765862862317,190.6976137282,11.4424807657,3063,301,1,72,GALAXY,0.3785316
241,123765488019761,209.1109062387,4.3966654448,2190,301,3,181,GALAXY,0.2860623
242,123766195079388,190.7182057453,13.2573601284,3836,301,5,278,GALAXY,0.674001
243,123765173576172,190.8339200268,1.9782776856,1458,301,2,441,GALAXY,0.8683553
246,123766862301495,190.9276918312,16.3933272084,5390,301,1,116,GALAXY,0.6845943
247,123765863077072,190.9857810412,13.1266516633,3063,301,5,73,GALAXY,0.5661149
248,123766181548596,191.13325504,11.1905310019,3805,301,1,27,GALAXY,0.6738397
249,123766194972033,191.1917721758,12.3516176328,3836,301,3,281,GALAXY,0.8000813
251,123767176424948,191.2858490092,-0.4618960171,6121,301,4,159,GALAXY,0.5129098
252,123764872069887,191.3832979852,-0.5357184363,756,301,2,505,GALAXY,0.5506803
253,123767176317475,191.8230133691,-2.7273772338,6121,301,2,144,GALAXY,0.4241099
254,123766252415818,191.9398441835,13.7628114604,3970,301,1,67,GALAXY,0.7677674
255,123767126549863,191.9438354935,4.3360243491,6005,301,3,193,GALAXY,0.5678591
256,123767126495835,192.0569090068,-3.3328504965,6005,301,2,141,GALAXY,0.9553184
257,123766197279923,192.0954138147,8.4873983621,3841,301,6,181,GALAXY,0.9845113
259,123767176317744,192.2982770087,3.3887139972,6121,301,2,185,GALAXY,0.7466869
261,123767126496110,192.4591395026,2.8529376714,6005,301,2,183,GALAXY,0.2135662
262,123767126496215,192.4911120461,5.3114100544,6005,301,2,199,GALAXY,0.6888852
267,123766791274385,192.9415308072,25.7771098064,5224,301,6,255,GALAXY,0.2625606
268,123766181656048,192.9808791691,12.0828482384,3805,301,3,39,GALAXY,0.3142757
269,123766181548674,193.0729248654,11.313913358,3805,301,1,39,GALAXY,0.8094167
272,123766181548687,193.2333763973,11.2309924533,3805,301,1,41,GALAXY,0.4760276
273,123765175240557,193.3384065522,1.2690955248,1462,301,1,454,GALAXY,0.299904
274,123765175347931,193.3715535427,2.1683643659,1462,301,3,454,GALAXY,0.834597
276,123766223747010,193.4617957733,9.7099882134,3903,301,3,82,GALAXY,0.6265177
277,123766197655097,193.6831077758,8.0531028956,3842,301,5,84,GALAXY,0.6243479
278,123766181817136,193.683745412,13.2367114992,3805,301,6,43,GALAXY,0.3318815
279,123764870458166,193.8027247758,0.1166583562,752,301,4,336,GALAXY,0.7316373
280,123765175455325,193.8147205171,2.8966488666,1462,301,5,457,GALAXY,0.3276689
281,123766197226314,193.8474901807,7.9099017115,3841,301,5,193,GALAXY,0.9193113
282,123766197655103,193.8903134544,8.2404182211,3842,301,5,85,GALAXY,0.6311327
283,123765512447649,193.9540286792,4.3041494647,2247,301,2,221,GALAXY,0.4000068
285,123765173522642,194.5049551514,1.5758442953,1458,301,1,465,GALAXY,0.4648937
286,123766428993264,194.8628886687,14.1711368779,4381,301,2,159,GALAXY,0.5253477
287,123764872123738,195.2444869638,-0.0275503532,756,301,3,530,GALAXY,0.5357816
290,123766485256405,197.8801553282,36.2820490029,4512,301,2,17,GALAXY,0.2693455
291,123766184986359,200.125410243,43.0839366041,3813,301,1,300,GALAXY,0.4728417
292,123766185040085,201.3079778234,43.2672638882,3813,301,2,306,GALAXY,0.6170258
293,123765175348291,201.5821235404,2.1007234485,1462,301,3,509,GALAXY,0.7271445
294,123766230082119,204.0050528252,49.9608333546,3918,301,1,87,GALAXY,0.3131776
295,123766223693795,204.3834216674,8.8851823842,3903,301,2,154,GALAXY,0.7230508
296,123766485310361,205.5349211552,35.6543072268,4512,301,3,58,GALAXY,0.8697628
297,123766143538856,206.6014887385,46.1069711343,3716,301,5,137,GALAXY,0.9839697
298,123766429529781,206.9374436921,38.304618111,4382,301,4,105,GALAXY,0.5641491
299,123766481498918,207.0668372644,3.9508603288,4503,301,4,110,GALAXY,0.6451582
300,123766185093975,207.6496181365,42.5412881212,3813,301,3,337,GALAXY,0.4135053
301,123764870297734,208.2269221675,-1.1146120205,752,301,1,432,GALAXY,0.693401
302,123765488127109,208.54693671,5.2274746469,2190,301,5,177,GALAXY,0.225335
303,123765914670485,208.6916394921,58.6668517925,3183,301,6,91,GALAXY,0.5612765
305,123765488073435,208.9114490388,4.9850461897,2190,301,4,179,GALAXY,0.2899794
306,123765488127128,209.029979928,5.2550337672,2190,301,5,180,GALAXY,0.725619
307,123765512609373,209.0499297116,5.0148607808,2247,301,5,322,GALAXY,0.6659544
308,123766778282285,155.8624802171,19.8985237144,5194,301,4,282,GALAXY,0.8416222
309,123766141821210,211.8540091639,55.103018686,3712,301,5,189,GALAXY,0.6814458
311,123765182217211,215.0828846398,3.933768164,1478,301,3,47,GALAXY,0.76386
312,123765182109850,215.2653623126,3.2709624314,1478,301,1,49,GALAXY,0.7218027
313,123765487912655,215.3045036597,3.4359145853,2190,301,1,222,GALAXY,0.375816
314,123765173577266,215.8631108647,1.72627223,1458,301,2,608,GALAXY,0.4627633
315,123766184986916,216.33759749,39.5395807181,3813,301,1,385,GALAXY,0.1613726
316,123765487912754,217.4182265238,3.2333246397,2190,301,1,237,GALAXY,0.8209475
317,123765487966441,217.5076715767,3.7728781407,2190,301,2,237,GALAXY,0.3502781
318,123766226217055,217.6639548877,7.2750994934,3909,301,1,149,GALAXY,0.6642645
319,123766194919512,218.182996386,9.8922240751,3836,301,2,459,GALAXY,0.27531
320,123765488073848,218.351270749,4.4504899392,2190,301,4,242,GALAXY,0.9295653
322,123765488181287,219.7961633703,5.3634699104,2190,301,6,252,GALAXY,0.8533512
323,123765488127640,220.7416691259,4.8894647883,2190,301,5,258,GALAXY,0.3500016
