dr7objid,dr8objid,objid
587722954380280213,1237648675605184926,1237648675605184926
587722954380214958,1237648675605119699,1237648675605119699
587722954380214799,1237648675605119520,1237648675605119520
587722954380149201,1237648675605053923,1237648675605053923
587722954379886663,1237648675604791366,1237648675604791366
587722954379755892,1237648675604660569,1237648675604660569
587722954378903985,1237648675603808687,1237648675603808687
587722954378903951,1237648675603808635,1237648675603808635
587722954377986331,1237648675602891011,1237648675602891011
587722954377986272,1237648675602890938,1237648675602890938
587722953844392536,1237648675069297255,1237648675069297255
587722953843343654,1237648675068248607,1237648675068248607
587722953843081649,1237648675067986500,1237648675067986500
587722953842426188,1237648675067331235,1237648675067331235
587722953842360780,1237648675067265539,1237648675067265539
587722953841770855,1237648675066675556,1237648675066675556
587722953309618947,1237648674534523501,1237648674534523501
587722953309618947,1237648674534523501,1237648674534523501
587722953308700809,1237648674533605504,1237648674533605504
587722953307521698,1237648674532426417,1237648674532426417
587722953305424105,1237648674530328779,1237648674530328779
587722952771896174,1237648673996800877,1237648673996800877
587722952769929972,1237648673994834641,1237648673994834641
587722952769864056,1237648673994768731,1237648673994768731
587722952769536435,1237648673994441104,1237648673994441104
587722952769405478,1237648673994310120,1237648673994310120
587722952769405012,1237648673994309722,1237648673994309722
587722952769274320,1237648673994179113,1237648673994179113
587722952768946508,1237648673993851177,1237648673993851177
587722952768815586,1237648673993720299,1237648673993720299
587722952768684336,1237648673993589003,1237648673993589003
587722952768291087,1237648673993195770,1237648673993195770
587722952768225723,1237648673993130415,1237648673993130415
587722952767963568,1237648673992868256,1237648673992868256
587722952236139218,1237648673461043923,1237648673461043923
587722952236139218,1237648673461043923,1237648673461043923
587722952234762287,1237648673459667002,1237648673459667002
587722952234631266,1237648673459535952,1237648673459535952
587722952234566087,1237648673459470810,1237648673459470810
587722952234434785,1237648673459339459,1237648673459339459
587722952234238568,1237648673459143541,1237648673459143541
587722952234173117,1237648673459077777,1237648673459077777
587722952232862006,1237648673457766684,1237648673457766684
587722952232796713,1237648673457701399,1237648673457701399
587722952232796631,1237648673457701302,1237648673457701302
587722952231813619,1237648673456718301,1237648673456718301
587722952231682441,1237648673456587159,1237648673456587159
587722952231682420,1237648673456587126,1237648673456587126
587722952231092543,1237648673455997236,1237648673455997236
587722952230240688,1237648673455145351,1237648673455145351
587722952230240617,1237648673455145262,1237648673455145262
587722951699071319,1237648672923976414,1237648672923976414
587722951699071319,1237648672923976414,1237648672923976414
587722951699006106,1237648672923910742,1237648672923910742
587722951699006106,1237648672923910742,1237648672923910742
587722951698612978,1237648672923517668,1237648672923517668
587722951698612978,1237648672923517668,1237648672923517668
587722951696909030,1237648672921813985,1237648672921813985
587722951696843369,1237648672921748247,1237648672921748247
587722951695467106,1237648672920371812,1237648672920371812
587722951695335816,1237648672920240469,1237648672920240469
587722982830178312,1237648704055083016,1237648704055083016
587722982830113139,1237648704055017848,1237648704055017848
587722982829981962,1237648704054886675,1237648704054886675
587722982829457629,1237648704054362357,1237648704054362357
587722982829457629,1237648704054362357,1237648704054362357
587722982829391920,1237648704054296626,1237648704054296626
587722982829391920,1237648704054296626,1237648704054296626
587722982829195501,1237648704054100192,1237648704054100192
587722982829195501,1237648704054100192,1237648704054100192
587722982829195290,1237648704054099996,1237648704054099996
587722982829195290,1237648704054099996,1237648704054099996
587722982829130030,1237648704054034786,1237648704054034786
587722982829130030,1237648704054034786,1237648704054034786
587722982828998820,1237648704053903529,1237648704053903529
587722982828933296,1237648704053838005,1237648704053838005
587722982828540258,1237648704053444717,1237648704053444717
587722982828540258,1237648704053444717,1237648704053444717
587722982828540257,1237648704053444715,1237648704053444715
587722982828474648,1237648704053379368,1237648704053379368
587722982828474648,1237648704053379368,1237648704053379368
587722982828212482,1237648704053117153,1237648704053117153
587722982828146968,1237648704053051658,1237648704053051658
587722982828146791,1237648704053051481,1237648704053051481
587722982828081392,1237648704052986096,1237648704052986096
587722982828015808,1237648704052920522,1237648704052920522
587722982827294968,1237648704052199667,1237648704052199667
587722982827294968,1237648704052199667,1237648704052199667
587722982827163823,1237648704052068490,1237648704052068490
587722982826770451,1237648704051675158,1237648704051675158
587722982826180697,1237648704051085385,1237648704051085385
587722982826180697,1237648704051085385,1237648704051085385
587722982825787603,1237648704050692299,1237648704050692299
587722982825459983,1237648704050364654,1237648704050364654
587722982823952463,1237648704048857286,1237648704048857286
587722982823821557,1237648704048726314,1237648704048726314
587722982823821557,1237648704048726314,1237648704048726314
587722982823624928,1237648704048529580,1237648704048529580
587722982823559383,1237648704048464089,1237648704048464089
587722982823493798,1237648704048398494,1237648704048398494
587722982823493789,1237648704048398484,1237648704048398484
587722982823493789,1237648704048398484,1237648704048398484
587722982823428415,1237648704048332959,1237648704048332959
587722982823035007,1237648704047939723,1237648704047939723
587722982823035007,1237648704047939723,1237648704047939723
587722982822969590,1237648704047874281,1237648704047874281
587722982822904063,1237648704047808740,1237648704047808740
587722982822904063,1237648704047808740,1237648704047808740
587722982821724200,1237648704046629003,1237648704046629003
587722982821724281,1237648704046628971,1237648704046628971
587722982821003455,1237648704045908141,1237648704045908141
587722982820085837,1237648704044990625,1237648704044990625
587722982819692648,1237648704044597468,1237648704044597468
587722982818578613,1237648704043483329,1237648704043483329
587722982818578613,1237648704043483329,1237648704043483329
587722982818578561,1237648704043483279,1237648704043483279
587722982817529962,1237648704042434653,1237648704042434653
587722982836928941,1237648704061833634,1237648704061833634
587722982836928941,1237648704061833634,1237648704061833634
587722982836994423,1237648704061899189,1237648704061899189
587722982810386479,1237648704035291265,1237648704035291265
587722982810386506,1237648704035291200,1237648704035291200
587722982810058901,1237648704034963599,1237648704034963599
587722982809927817,1237648704034832646,1237648704034832646
587722982809469029,1237648704034373733,1237648704034373733
587722982809469029,1237648704034373733,1237648704034373733
587722982809469025,1237648704034373728,1237648704034373728
587722982809469021,1237648704034373722,1237648704034373722
587722982809469021,1237648704034373722,1237648704034373722
587722982809403566,1237648704034308311,1237648704034308311
587722982808944792,1237648704033849511,1237648704033849511
587722982808420387,1237648704033325081,1237648704033325081
587722982807699585,1237648704032604253,1237648704032604253
587722982807306382,1237648704032211101,1237648704032211101
587722982306676826,1237648703531581527,1237648703531581527
587722982306676826,1237648703531581527,1237648703531581527
587722982306480694,1237648703531385364,1237648703531385364
587722982306414880,1237648703531319542,1237648703531319542
587722982306087030,1237648703530991714,1237648703530991714
587722982305956570,1237648703530861302,1237648703530861302
587722982305956091,1237648703530860809,1237648703530860809
587722982305890938,1237648703530795625,1237648703530795625
587722982305890908,1237648703530795574,1237648703530795574
587722982305759640,1237648703530664423,1237648703530664423
587722982305497489,1237648703530402116,1237648703530402116
587722982304710869,1237648703529615507,1237648703529615507
587722982303007055,1237648703527911709,1237648703527911709
587722982302744965,1237648703527649617,1237648703527649617
587722982300647474,1237648703525552175,1237648703525552175
587722982300057611,1237648703524962319,1237648703524962319
587722982300057611,1237648703524962319,1237648703524962319
587722982299271568,1237648703524176335,1237648703524176335
587722982299271230,1237648703524175948,1237648703524175948
587722982299271230,1237648703524175948,1237648703524175948
587722982298812764,1237648703523717431,1237648703523717431
587722982298222616,1237648703523127517,1237648703523127517
587722982298157371,1237648703523062046,1237648703523062046
587722982298026184,1237648703522930848,1237648703522930848
587722982297829814,1237648703522734471,1237648703522734471
587722982297698635,1237648703522603269,1237648703522603269
587722982297633118,1237648703522537772,1237648703522537772
587722982293766175,1237648703518670866,1237648703518670866
587722982293766175,1237648703518670866,1237648703518670866
587722982291472493,1237648703516377183,1237648703516377183
587722982288654610,1237648703513559257,1237648703513559257
587722982288654610,1237648703513559257,1237648703513559257
587722982286426253,1237648703511330928,1237648703511330928
587722982285967469,1237648703510872275,1237648703510872275
587722982285967469,1237648703510872275,1237648703510872275
587722982285574295,1237648703510478991,1237648703510478991
587722982285574295,1237648703510478991,1237648703510478991
587722982283411487,1237648703508316188,1237648703508316188
587722982283018474,1237648703507923174,1237648703507923174
587722982276923512,1237648703501828227,1237648703501828227
587722982275874985,1237648703500779682,1237648703500779682
587722982275874985,1237648703500779682,1237648703500779682
587722982275481643,1237648703500386420,1237648703500386420
587722982275285078,1237648703500189787,1237648703500189787
587722982830964906,1237648704055869581,1237648704055869581
587722982830964906,1237648704055869585,1237648704055869585
587722982272925748,1237648703497830456,1237648703497830456
587722981770461703,1237648702995366464,1237648702995366464
587722981770461703,1237648702995366464,1237648702995366464
587722981770330722,1237648702995235532,1237648702995235532
587722981770134007,1237648702995038674,1237648702995038674
587722981770134007,1237648702995038674,1237648702995038674
587722981770068857,1237648702994973710,1237648702994973710
587722981770068857,1237648702994973710,1237648702994973710
587722981770068827,1237648702994973259,1237648702994973259
587722981770068827,1237648702994973259,1237648702994973259
587722981769216947,1237648702994121855,1237648702994121855
587722981768626571,1237648702993531230,1237648702993531230
587722981768364664,1237648702993269634,1237648702993269634
587722983883473066,1237648705108377762,1237648705108377762
587722983883800606,1237648705108705299,1237648705108705299
587722981766595009,1237648702991499721,1237648702991499721
587722981752897881,1237648702977802570,1237648702977802570
587722981752897881,1237648702977802570,1237648702977802570
587722981749227687,1237648702974132393,1237648702974132393
587722981749227687,1237648702974132393,1237648702974132393
587722981748834455,1237648702973739135,1237648702973739135
587722981748834455,1237648702973739135,1237648702973739135
587722981747982465,1237648702972887169,1237648702972887169
587722981747392587,1237648702972297393,1237648702972297393
587722981745492158,1237648702970396859,1237648702970396859
587722981745295552,1237648702970200259,1237648702970200259
587722981744771128,1237648702969675832,1237648702969675832
587722981744771128,1237648702969675832,1237648702969675832
587722981744640177,1237648702969544883,1237648702969544883
587722981744640177,1237648702969544883,1237648702969544883
587722981742936201,1237648702967840884,1237648702967840884
