,RA,DEC,objid
123,150.28954,0.58652514,587728949584527567
124,150.24791000000002,0.30667755,588848900436525351
125,150.29948000000002,0.3293208,588848900436525231
126,149.98212,1.1106445,587727942423347208
127,149.99487,1.0549923,587727942423347326
128,150.14047,0.85608,587728950121332942
129,150.39058,0.44874704,587728949584593077
130,150.31873000000002,0.12098792,587728949047721996
131,150.52855,0.25767815,588848900436656326
132,151.56104,-0.9827292,588848898826502272
133,151.43,-0.7740085999999999,587728947974439168
134,151.44637,-1.1805702,587725084653191274
135,151.82308999999998,-0.078680985,588848899900309725
136,151.69994,-0.50366235,588848899363438778
137,151.72383,0.006968074499999999,587728949048312004
138,150.59354,-1.229487,587729151457099980
139,150.6535,-1.0030934,588848898826109114
140,151.52853000000002,-0.21550041,587728948511375536
141,151.0091,-0.34292987,587728948511113421
142,151.12187,-0.24097976,587728948511178891
143,150.55173,-0.7731220999999999,587728947974045905
144,150.3923,-0.9071176,588848898825978142
145,150.40583999999998,-0.9435056999999999,588848898825978048
146,150.47408000000001,-1.0509098999999997,587725084652798212
147,150.45316,-1.1409109,587725084652732655
148,150.69247,0.0067414219999999995,587728949047853197
149,150.71701000000002,0.06874822,587728949047853120
150,150.10603,-1.049547,587725084652601489
151,150.54143,-0.1892442,588848899899785247
152,150.14648,1.242446,587726031698591977
153,150.1238,1.2285252,587726031698591960
154,150.62006,0.3332387,588848900436656268
155,150.70317,0.63562405,588848900973592858
156,150.6323,0.26111799999999996,588848900436656387
157,150.59746,0.25431433,588848900436656378
158,150.7797,0.54773927,587728949584789696
159,150.8774,0.61228836,587728949584789759
160,150.915,0.39097086,588848900436787471
161,151.02847,0.62682956,587728949584855237
162,151.03893,0.42487440000000004,587728949584855248
163,151.55765,0.368925,588848900437114969
164,151.6547,0.6326096999999999,588848900973986027
165,150.9942,0.7366514000000001,588848900973723777
166,150.99962,0.8069149,588848900973723785
167,150.91995,1.2095848,587727942423740525
168,151.17113999999998,0.914218,587728950121791676
169,151.62946000000002,1.0935408000000002,587727942424068247
170,151.89223,0.2772472,588848900437246027
171,151.85576,0.6276401999999999,587728949585248302
172,151.70221999999998,0.80701154,588848900974051455
173,152.08588999999998,0.25061995,588848900437311821
174,153.63083,-0.25946474,587728948512293021
175,153.4716,-0.7440435999999999,587728947975356576
176,153.50262,-0.70807445,587728947975356591
177,153.34333999999998,-0.8717944,588848898827288763
178,153.34028999999998,-0.7814213000000001,587728947975291023
179,153.46687,-0.37364483,587728948512227457
180,152.79112,-0.39943123,587728948511899847
181,152.49254,-1.1817654,587725084653650002
182,152.42525,-0.513039,588848899363700925
183,152.31933999999998,-1.1341906000000002,587725084653584479
184,152.34264,-1.2271187,587725084653584488
185,152.26344,-0.22709347,587728948511703067
186,151.60512,-1.2115788,587725084653256877
187,151.6072,-1.1855978,587725084653256800
188,151.7278,-1.233126,587725084653322400
189,151.68393,1.1298378,587727942424068152
190,152.13042,0.35665616,588848900437311869
191,152.42459,1.2375016,587728307484688536
