dr7objid,dr8objid,objid,expAB_r
587741708868255991,1237667430093160672,1237667430093160672,0.766179
587741708868321561,1237667430093226282,1237667430093226282,0.8075836
587741708868517968,1237667430093422663,1237667430093422663,0.52163
587741708868845587,1237667430093750290,1237667430093750290,0.355772
587741708868845780,1237667430093750492,1237667430093750492,0.5696056
587741708869369971,1237667430094274642,1237667430094274642,0.7366156
587741708869763285,1237667430094668055,1237667430094668055,0.3084874
587741708870025396,1237667430094930053,1237667430094930053,0.7374208
587741708870352993,1237667430095257667,1237667430095257667,0.9261293
587741708871467186,1237667430096371931,1237667430096371931,0.6260201
587741708871729277,1237667430096633991,1237667430096633991,0.7261302
587741708871860421,1237667430096765097,1237667430096765097,0.3929133
587741708872122634,1237667430097027292,1237667430097027292,0.4536781
587741708872450197,1237667430097354879,1237667430097354879,0.2050105
587741708872712381,1237667430097617055,1237667430097617055,0.7270252
587741708873105584,1237667430098010279,1237667430098010279,0.8999906
587741708873302138,1237667430098206821,1237667430098206821,0.5604796
587741708873760897,1237667430098665610,1237667430098665610,0.4855081
587741708873957416,1237667430098862106,1237667430098862106,0.8876739
587741708874154173,1237667430099058856,1237667430099058856,0.6759273
587741708874612841,1237667430099517578,1237667430099517578,0.2288602
587741708874743815,1237667430099648518,1237667430099648518,0.7967646
587741708874940635,1237667430099845339,1237667430099845339,0.768941
587741708875071670,1237667430099976355,1237667430099976355,0.6441568
587741708875137147,1237667430100041811,1237667430100041811,0.7999825
587741708875137191,1237667430100041836,1237667430100041836,0.7407748
587741708875399208,1237667430100303913,1237667430100303913,0.3453029
587741708876906603,1237667430101811281,1237667430101811281,0.6322963
587741708876972160,1237667430101876841,1237667430101876841,0.4646362
587741708879134895,1237667430104039579,1237667430104039579,0.2163443
587741708879265898,1237667430104170606,1237667430104170606,0.6943074
587741708879855731,1237667430104760446,1237667430104760446,0.5960238
587741708879855765,1237667430104760472,1237667430104760472,0.2232343
587741708879921260,1237667430104825926,1237667430104825926,0.2396993
587741708880117943,1237667430105022659,1237667430105022659,0.3035302
587741708880183453,1237667430105088140,1237667430105088140,0.5100803
587741708880249000,1237667430105153677,1237667430105153677,0.413256
587741708880576548,1237667430105481328,1237667430105481328,0.8250611
587741708880642237,1237667430105546966,1237667430105546966,0.3775246
587741708880707715,1237667430105612413,1237667430105612413,0.2369826
587741708880773271,1237667430105678071,1237667430105678071,0.3983265
587741708881231977,1237667430106136733,1237667430106136733,0.4700472
587741708881232030,1237667430106136781,1237667430106136781,0.1681234
587741708881363026,1237667430106267804,1237667430106267804,0.8935223
587741708881559633,1237667430106464383,1237667430106464383,0.5239631
587741708881559735,1237667430106464453,1237667430106464453,0.8706348
587741708881756186,1237667430106660889,1237667430106660889,0.6523431
587741708881756333,1237667430106661092,1237667430106661092,0.3381564
587741708881821956,1237667430106726661,1237667430106726661,0.6592581
587741708881887346,1237667430106792041,1237667430106792041,0.7776917
587741708882018392,1237667430106923149,1237667430106923149,0.6198823
587741708882280531,1237667430107185227,1237667430107185227,0.3140606
587741708882346111,1237667430107250798,1237667430107250798,0.2756439
587741708882804874,1237667430107709558,1237667430107709558,0.7373083
587741708883001427,1237667430107906103,1237667430107906103,0.5138404
587741708883525650,1237667430108430356,1237667430108430356,0.7163004
587741709397066247,1237667430621971001,1237667430621971001,0.9569598
587741709398507960,1237667430623412665,1237667430623412665,0.7133333
587741709399032138,1237667430623936832,1237667430623936832,0.2123282
587741709399228813,1237667430624133510,1237667430624133510,0.6700729
587741709399294093,1237667430624198791,1237667430624198791,0.5283796
587741709399294100,1237667430624198798,1237667430624198798,0.2507697
587741709399753042,1237667430624657786,1237667430624657786,0.8159244
587741709399818629,1237667430624723365,1237667430624723365,0.3551323
587741709400211829,1237667430625116577,1237667430625116577,0.7908853
587741709401522443,1237667430626427155,1237667430626427155,0.9897246
587741709401587777,1237667430626492485,1237667430626492485,0.8500035
587741709402046501,1237667430626951174,1237667430626951174,0.4284447
587741709402046745,1237667430626951495,1237667430626951495,0.5743326
587741709402374445,1237667430627279246,1237667430627279246,0.9772967
587741709402570872,1237667430627475613,1237667430627475613,0.3164366
587741709402571100,1237667430627475888,1237667430627475888,0.7988452
587741709402636634,1237667430627541175,1237667430627541175,0.4257685
587741709402636649,1237667430627541427,1237667430627541427,0.786542
587741709402964274,1237667430627868954,1237667430627868954,0.7943592
587741709404406068,1237667430629310819,1237667430629310819,0.6294065
587741709404864719,1237667430629769393,1237667430629769393,0.9373967
587741709405061354,1237667430629966018,1237667430629966018,0.7863804
587741709405192406,1237667430630097156,1237667430630097156,0.3867269
587741709405388842,1237667430630293672,1237667430630293672,0.2416021
587741709405978766,1237667430630883438,1237667430630883438,0.6850372
587741709406044288,1237667430630948979,1237667430630948979,0.8034419
587741709406175375,1237667430631080076,1237667430631080076,0.5399505
587741709406634263,1237667430631538970,1237667430631538970,0.9470114
587741709406634165,1237667430631539005,1237667430631539005,0.5544514
587741709407158467,1237667430632063178,1237667430632063178,0.1990338
587741709407158474,1237667430632063190,1237667430632063190,0.428362
587741709408796839,1237667430633701516,1237667430633701516,0.603982
587741709408796855,1237667430633701530,1237667430633701530,0.2850492
587741709408927801,1237667430633832568,1237667430633832568,0.316698
587741709409058972,1237667430633963661,1237667430633963661,0.7796291
587741709409124434,1237667430634029119,1237667430634029119,0.3146823
587741709409189981,1237667430634094684,1237667430634094684,0.8987683
587741709409255565,1237667430634160295,1237667430634160295,0.3036124
587741709410041990,1237667430634946694,1237667430634946694,0.7150946
587741709410435172,1237667430635340034,1237667430635340034,0.2222673
587741709410893948,1237667430635798657,1237667430635798657,0.6086516
587741709411876931,1237667430636781626,1237667430636781626,0.8710435
587741709412204671,1237667430637109346,1237667430637109346,0.657043
587741709413515347,1237667430638420041,1237667430638420041,0.5249732
587741709413712039,1237667430638616768,1237667430638616768,0.25588
587741709414039661,1237667430638944355,1237667430638944355,0.4712689
587741709414498358,1237667430639403283,1237667430639403283,0.4786961
587741709414498544,1237667430639403359,1237667430639403359,0.3494473
587741709414760540,1237667430639665236,1237667430639665236,0.7817601
587741709415088254,1237667430639992937,1237667430639992937,0.3315867
587741709415088297,1237667430639992961,1237667430639992961,0.2795652
587741709403947054,1237667430628851749,1237667430628851749,0.5348024
587741709395821202,1237667430620725500,1237667430620725500,0.2000001
587741708885885070,1237667430110789802,1237667430110789802,0.4538285
