,Unnamed: 0,Unnamed: 0.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,EB-V,NUMID,Inclination
6623,12816,102449,0.050840396,6.8671434e-06,658.7053,7.525079300000002,174.33229,4.2311206,0.5773133,0.003083225893039588,587724241232461959,0.6782363,55.04539499999999,-6.552086,9.800781,9.717378,9.90227,-0.14480077,-0.28796822,0.050934736,-0.11851674,0.0,-3.8515747632074917,1,8.989157,8.980656,8.997657,8.989157,0.054814212,12816,47.294025435843
6624,12817,102451,0.022337008,1.19718225e-05,89.01307,2.2883818,28.373384,2.3432477,0.49654263,0.011973821638430998,587727179010277529,0.4061652,55.22717700000001,-6.673431,9.154656,9.094598,9.237018,-0.4854447,-0.7841024000000001,-0.1848314,-0.48446688,0.0,-4.783941212220037,1,8.4608345,8.336895,8.561949,8.449422,0.051392548,12817,66.03583480206044
6625,12818,102456,0.032900300000000014,7.890169999999999e-06,130.23256,2.6162112,45.44925300000001,2.2704542,0.4571928,0.008160676850437625,587727178473144442,0.6569344,54.71234499999999,-7.291836,9.232705,9.181841,9.302547,-0.23031777,-0.44749147,0.039486103,-0.20400268,0.0,-4.3851417399212655,1,8.576042999999999,8.496459,8.652092,8.574276,0.050625667,12818,48.93351033655767
6627,12823,102490,0.017920771999999998,1.28808015e-05,201.02081,3.634932,42.535492,2.7375236000000003,0.67448956,0.0061432726781517405,587727179546820769,0.28017179999999997,54.39751999999999,-6.4958797,9.532442,9.433728,9.628569,-0.9065827,-1.1710646999999998,-0.6272728,-0.8991687,0.0,-4.4733525748307965,1,9.134628,9.088651,9.193346,9.140999,0.05655703,12823,73.72954146681239
6630,12831,102542,0.022186967,1.2917689e-05,163.47371,2.7982264,48.71353,2.2662408,0.5257983,0.006415244553686431,587727180083691706,0.2250886,54.379738,-5.9263735,9.601886,9.534394,9.696095,-0.31944424,-0.57866955,-0.046348087,-0.31250882,0.0,-4.548805332598144,1,8.775451,8.695652,8.811185,8.753418,0.041828252,12831,76.99191178555225
6631,12832,102543,0.034523543,1.608506e-05,123.44412,2.3954327,24.251575,1.7711147,0.7067304,0.006447249480554697,587727180083691665,0.5450483,54.325775,-5.921077,10.0206995,9.928233,10.120754,-0.516624,-0.7890686,-0.25000003,-0.5195343,0.0,-4.546334879950158,1,8.975549,8.932796000000002,9.011016,8.971906,0.040195778,12832,56.97203565388241
6632,12833,102546,0.028233407,9.560762e-06,323.81427,4.2661190000000015,92.92256,2.7911017000000005,0.5421748000000001,0.004087631824430442,587724242305941578,0.162406,54.35754,-5.8737926,9.504291,9.451286,9.580075,-0.054604996,-0.37005648,0.29026327,-0.039896607,0.0,-4.8805032576502265,1,8.791998,8.721956,8.812952000000003,8.767453999999999,0.042753376,12833,80.65342325235854
6635,12841,102598,0.042517312,8.769575e-06,474.42334000000005,6.381133,112.81978,3.921865,0.6237808000000001,0.003849505149804436,587724242306072755,0.6201398,54.72514,-5.805716,10.405492,10.312749,10.504911,-0.0024249284,-0.20741363,0.29235306,0.042469718,0.0,-4.4293285275885665,1,8.970601,8.961297,8.979905,8.970601,0.05357062,12841,51.673655871073905
6636,12842,102600,0.04308359,1.4388886e-05,111.6934,2.5809336,23.642185,2.0494795,0.6743399,0.008247190404586166,587727180620693717,0.5820593000000001,54.662567,-5.6572623,10.27276,10.16405,10.406269,-0.60972214,-1.0123494,-0.12095243,-0.56665087,0.0,-5.18835162326674,1,8.911575,8.852075,8.965825,8.90895,0.054372147,12842,54.40448644155981
6637,12843,102607,0.048794147,8.1861e-06,315.45203,4.275146,53.21463000000001,2.4189556,0.7729023,0.003475124844514045,587724241769201831,0.20674,54.784607,-6.1520199999999985,9.684793,9.588704,9.7800455,0.018321749,-0.12982458,0.17519599,0.022685707000000003,0.0,-3.637126395307816,1,8.855785000000003,8.827335,8.906267,8.866800999999997,0.05975569,12843,78.06862400972227
6638,12844,102608,0.028607361,5.079305e-06,299.74722,3.9476643,106.65579,3.0248888,0.44877073,0.004832148029849538,587724242306072709,0.2746254,54.6458,-5.835051999999999,9.187687,9.102464,9.316426,-0.3309733,-0.5553121999999999,-0.0061349743,-0.2807236,0.0,-4.526051950165983,1,8.689424,8.642278999999998,8.740085,8.691181,0.051662132,12844,74.0603083007434
6640,12847,102614,0.03364476,7.1930754e-06,144.12155,2.5954206,49.89905,2.3220727,0.46063662,0.007502991452438637,587724241769136319,0.5323515999999999,54.562737,-6.272158,9.254222,9.187092,9.3437,-0.38082013,-0.63781,-0.08911755,-0.36346376,0.0,-4.584828651773519,1,8.602916,8.539032,8.67559,8.607311,0.05804525,12847,57.8355189109344
6642,12850,102618,0.052671444000000005,1.21675785e-05,149.10678,2.883265,40.181427,2.1643271,0.569472,0.006697818260445225,587724242843205746,0.7849814,55.20726,-5.3719893,9.864681,9.794223,9.954926,-0.0008645484,-0.29801953,0.32913905,0.015559763,0.0,-4.7985403138246765,1,9.004136,8.969198,9.050266,9.009732,0.051082134,12850,38.28104197766358
6643,12851,102627,0.043470856,1.0722673e-05,301.66284,4.5080423,53.485447,2.7216012000000003,0.7512861999999999,0.004083679941325381,587724242306203852,0.26315959999999994,54.93751500000001,-5.64238,10.49369,10.400414,10.591009,0.36343133,0.16207445,0.5695439999999999,0.36580923,0.0,-4.085103080921203,1,9.246754,9.187032,9.301108,9.24407,0.052089576,12851,74.7423754355098
6644,12852,102628,0.020911548,1.3070687e-05,377.39703,6.807163,108.42432,4.2262974,0.5416718,0.005358925329000589,587724242306203664,0.8073834,54.904953000000006,-5.632949,10.13311,10.047152,10.226167,-0.18801157,-0.45285696,0.13792136,-0.1574678,0.0,-4.614286368205236,1,8.848562,8.820276,8.914012,8.867144,0.05240935,12852,36.1589353319838
6646,12856,102640,0.049201366,9.804307e-06,102.635704,2.4114745,34.815792,1.9566426,0.46952218,0.00897379399176148,587727179547017376,0.7541034000000001,54.91319300000001,-6.365492,9.794796,9.727764,9.873799,-0.031375658,-0.47530112,0.2963732,-0.089463964,0.0,-5.1003140688006185,1,8.870332000000003,8.834297,8.933076,8.883686,0.045542996,12856,41.05291160268018
6647,12857,102648,0.05072285,1.0548199e-05,336.00946,4.925726,70.076584,2.7003348,0.6807786,0.0037342319013374623,587724241769398468,0.384377,55.187904,-6.089489,10.542125,10.45991,10.636605,0.53444195,0.32231018,0.8144385999999999,0.5683744000000001,0.0,-4.347024887513257,1,9.131183,9.118441,9.165282,9.141861,0.04950527,12857,67.39493089117911
6649,12860,102657,0.03423104,7.869022e-06,927.1301,8.685047,219.75215,4.2338233,0.62520754,0.0022052478386684,587724241769463871,0.6214554,55.32373000000001,-6.104516,10.329937,10.247623,10.425831,0.32441044,0.11257305,0.6400585,0.37631577,0.0,-4.454094400437442,1,9.050278,9.043288,9.057267,9.050278,0.046975143,12860,51.577506441311115
6652,12868,102824,0.028405312,1.2667354e-05,431.942,6.029166,102.721596,3.788106200000001,0.6237636999999999,0.004072440011301037,587724240159834294,0.7612649,57.729584,-7.060648,10.488561,10.390726,10.584515,-0.03992783,-0.46167868,0.31054226,-0.07556821400000001,0.0,-4.9645172923872005,1,9.052478,9.043188,9.078919,9.061054,0.06580745,12868,40.42416407512568
6654,12875,102856,0.033233386000000004,9.836634e-06,237.5328,3.5471828000000003,60.87351999999999,2.6863377,0.5912951999999999,0.0051851811259561115,587724240159768666,0.6286689999999999,57.51338000000001,-7.091195,9.688366,9.599777,9.778887,-0.5854102,-0.9026491,-0.2749999,-0.5888245,0.0,-4.741590197321159,1,8.941886,8.8784,8.957225,8.917812,0.10262976,12875,51.04800810487917
6655,12876,102859,0.056598835,7.2091625e-06,622.048,6.432835,179.69461,4.053444,0.5392888000000001,0.0031132107292757712,587727179011391616,0.6122909000000001,57.711693,-6.4053574,9.287205,9.228893,9.37626,-0.21918593,-0.34104717,-0.06282029,-0.20193373,0.0,-3.6203134178192897,1,8.868178,8.832164,8.887538000000003,8.859850999999997,0.12862167,12876,52.24466508030719
6657,12879,102880,0.032841567,8.135339e-06,207.2305,3.520785,63.0481,2.8269348,0.5167817,0.006335473461632382,587727178474324193,0.9079094999999999,57.43796500000001,-6.7809863,9.469185,9.410558,9.548075,-0.18148139,-0.5056666,0.12658957,-0.18953852,0.0,-4.851423775433783,1,8.6643095,8.60283,8.704864,8.653847,0.10855708,12879,24.781960153810996
6658,12880,102897,0.05631855,1.6227901e-05,53.52794599999999,1.9179878,17.521334,1.8744828,0.48501343,0.016038806726479816,587724241233445197,0.5113495,57.376614,-6.324245,9.415998,9.34326,9.510359,-0.28753734,-0.64043486,0.027528157,-0.30645335,0.0,-4.9740425361596925,1,8.570215,8.256771,8.710936,8.483853,0.10291216,12880,59.24623886584042
6659,12881,102920,0.031122347,1.0247273e-05,173.32741,3.1063063,50.47719,2.5010295,0.5357721,0.006663992516294008,587727179011063972,0.5675579000000001,57.03805500000001,-6.4653725999999985,9.369367,9.309364,9.450859,-0.25297925,-0.5189731,0.03549233,-0.24174039,0.0,-4.588560089953072,1,8.735206,8.679632000000002,8.791895,8.735764,0.06006466200000001,12881,55.41989433930033
