,Unnamed: 0,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,EB-V,NUMID,Inclination
12632,101003,0.028641503,5.33094e-06,821.81573,8.066308,219.6328,4.2798986,0.57307726,0.002532450274871451,587724242302599337,0.6657774000000001,46.750029999999995,-6.755109299999999,9.782337,9.708369,9.892221000000001,0.19725429,-0.013571355,0.48188782,0.23415823,0.0,-4.368584436687395,1,8.814864,8.804310000000001,8.830488,8.817399,0.082570806,12632,48.25800693012434
12635,101016,0.028906541,1.0277442e-05,435.11908,7.9971666,83.95645,4.513138,0.7145541,0.0047605982522685155,587724241765924957,0.4871464,47.20132,-7.040609,10.986547999999999,10.896073,11.081249,0.2858697,-0.09256745,0.64424247,0.2758375,0.0,-5.136682744717015,3,-99.9,-99.9,-99.9,-99.9,0.07445226,12635,60.84680534167645
12637,101020,0.036305528,3.0832314000000005e-05,29.421263,1.5425258,4.874934,1.7303513,0.7806926,0.02581927242965712,587727179543543845,0.7427924,46.9933,-7.297579300000001,9.684585,9.584064999999999,9.786105000000001,-0.7063185000000001,-1.4396826,-0.25426358,-0.84697306,0.0,-5.495856233316376,2,-99.9,-99.9,-99.9,-99.9,0.09706831,12637,42.03016838691573
12638,101026,0.034944784,7.181599e-06,336.36742999999996,2.9308615000000002,103.15054,2.4843984,0.5133424,0.0034111380698979123,587727177933783173,0.7943117,49.037292,-8.349587,9.218571,9.139766999999999,9.337028,-0.38781409999999994,-0.59133154,-0.100707486,-0.34601950000000004,0.0,-4.355865625208919,1,8.799760000000001,8.785703999999999,8.849863000000001,8.817783,0.08600652,12638,37.40970776019913
12640,101058,0.032003500000000004,7.888712e-06,260.84182999999996,3.3430495000000002,54.657963,2.7786633999999997,0.6787238,0.004771154546001514,587727178470588528,0.3317573,48.879078,-8.081911,10.543781,10.420919,10.675118,-0.27939543,-0.73181814,0.24016394,-0.24582711,0.0,-5.324390496542036,2,-99.9,-99.9,-99.9,-99.9,0.09446758,12640,70.62452879929425
12642,101097,0.032112937,8.4429075e-06,54.741974,4.12986,22.299122,3.5848796000000003,0.39003268,0.031416474147014865,587727178470653998,0.3627855,49.02405,-7.9068116999999996,10.21613,10.124181,10.301846000000001,-1.4984848,-2.2887322999999995,-0.9216347,-1.6051834999999999,0.0,-5.821704254064394,4,-99.9,-99.9,-99.9,-99.9,0.07253642,12642,68.7286380197756
12645,101111,0.01704831,6.325534299999999e-06,608.4916,11.080474,175.23328999999998,6.811983000000001,0.54063797,0.005368852807615047,587724240155705427,0.8742264999999999,48.350970000000004,-8.212411999999999,10.411216,10.320224000000001,10.498867,-1.0098360999999998,-1.7584616000000002,-0.49876037,-1.128611,0.0,-5.72595819150139,3,-99.9,-99.9,-99.9,-99.9,0.0624947,12645,29.04643607112535
12646,101112,0.04183471,7.1146524e-06,164.55608999999998,2.159205,58.116122999999995,1.9193431,0.45201734,0.005450663288501225,587727177933455469,0.4374714,48.34576,-8.449458,9.190392999999998,9.122792,9.283399000000001,-0.39695776,-0.6434945,-0.09563946,-0.36956698,0.0,-4.541012143866157,1,8.611875,8.574437,8.638069999999999,8.606254,0.06104039,12646,64.0573425286378
12647,101120,0.036177654,4.091787e-06,437.57532000000003,3.6110957000000004,121.126175,2.4117856,0.55781484,0.002591153244196428,587724240692772974,0.4457304,48.661476,-7.8659387,9.193024000000001,9.139753,9.260351,-0.10011867,-0.30493802,0.1599316,-0.07250321,0.0,-4.3166259066552515,1,8.55368,8.445111,8.574839,8.509975,0.08429895,12647,63.52992098063796
12648,101125,0.023143637999999998,1.1299167e-05,535.5631,5.6891055,106.87141399999999,2.6170864,0.6999491,0.0023132962385835672,587724240692707511,0.3045691,48.590553,-7.7306490000000005,10.283365,10.1920185,10.371263,0.15435846,-0.04434422,0.42309955,0.18937767,0.0,-4.297824716200444,1,9.010236,9.003167,9.017304,9.010236,0.077274546,12648,72.26775818385549
12649,101153,0.035966147000000004,1.22495785e-05,3188.9324,20.850462,649.8162,7.704200999999999,0.6908548000000001,0.001198196116911939,587727179007197227,0.2427722,48.154728000000006,-7.572845,10.799388,10.7064085,10.893636,0.9213117000000001,0.7915833000000001,1.1308411,0.9612122,0.0,-3.8120102296535214,1,9.187241,9.154798,9.195917,9.175358000000001,0.07514046,12649,75.94978419265976
12650,101156,0.034717742,5.8352375e-06,249.43427999999997,2.492845,83.73026,2.1106946,0.47407368,0.003953244667815535,587727177933258864,0.7605219,47.93712,-8.587194,9.063881,8.997316,9.15746,-0.52995425,-0.74578124,-0.2680803,-0.50693077,0.0,-4.357164738930947,1,8.618964,8.589837,8.681303,8.635571,0.067047976,12650,40.48977093518244
12651,101157,0.02963452,8.224849e-06,138.56462,3.683204,47.298107,1.8499773999999998,0.46680862,0.0070105139661577566,587727177933258813,0.7605219,47.798157,-8.468615,9.168637,9.107749,9.245922,-0.51529044,-0.8721476,-0.20609744,-0.5391225000000001,0.0,-4.933868986753062,1,8.465572,8.282449,8.582417999999999,8.432433999999999,0.066284336,12651,40.48977093518244
12652,101165,0.0136455605,5.5976475e-06,762.452,6.1931614999999995,212.15902999999997,3.0629158,0.555551,0.0020018280582100663,587724240155574410,0.8140456,48.027879999999996,-8.232595,9.054708999999999,8.970303999999999,9.164166999999999,-0.8505575000000001,-1.0222749,-0.6216326999999999,-0.8219538000000001,0.0,-4.06795115553723,1,8.636221,8.612757,8.6821,8.6474285,0.05882391,12652,35.506897999482895
12654,101181,0.035327542999999996,7.657722999999999e-06,872.704,12.411010000000001,259.9897,7.954109700000001,0.52591085,0.004365053157583822,587724240155443266,0.4387979,47.753227,-8.424517999999999,10.779413,10.689485000000001,10.860574,-1.1478527,-2.0016130000000003,-0.5263888000000001,-1.2640008999999999,0.0,-5.894860793178071,4,-99.9,-99.9,-99.9,-99.9,0.06870285400000001,12654,63.972792442565186
12655,101183,0.05160688,7.921174e-06,75.77371,1.6014901000000001,20.65564,1.3597008999999998,0.5644799,0.008184910878243964,587727178470129873,0.6208513000000001,47.756107,-8.19337,9.322891,9.235497,9.42202,-0.82088333,-1.1385158000000002,-0.44123366,-0.78987473,0.0,-4.748428553264219,1,8.259209,8.093160000000001,8.483367999999999,8.288263,0.063418746,12655,51.62167240636372
12656,101194,0.012483878,1.5064483e-05,146.60991,2.1637123,38.519366999999995,1.8654212,0.58048415,0.005776731866662435,587724240692248580,0.26123070000000004,47.412822999999996,-7.846169500000001,9.582193,9.498954,9.67362,-0.6640823,-0.9886363000000001,-0.33962256,-0.66412944,0.0,-4.846264709352343,1,8.87396,8.840483,8.931385,8.885933999999999,0.08723203,12656,74.8568999415812
12658,101206,0.03219854,9.176898999999999e-06,798.1827400000001,7.0875773,224.29602000000003,4.724653,0.5512808000000001,0.0027897785476941467,587727177933127763,0.9086579,47.577126,-8.515408500000001,10.343472,10.255432,10.440046,-0.06293352,-0.389045,0.25205879999999997,-0.0684931,0.0,-4.878000338316286,3,-99.9,-99.9,-99.9,-99.9,0.07162337,12658,24.67946282329275
12659,101207,0.0324298,1.2925981999999999e-05,96.16695,1.7837281000000003,27.518684000000004,1.6993961,0.54339814,0.00801325357617516,587724240155312237,0.9086579,47.42309,-8.471311,9.578696,9.499582,9.673242,-0.5208083,-0.85592586,-0.20445995,-0.5301929,0.0,-4.8862268541635485,1,8.988645,8.949871,9.042000999999999,8.995935000000001,0.075431846,12659,24.67946282329275
