,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,MDust_MCMC,MH2_MCMC,LCO_MCMC,GasFrac,NUMID,Inclination
3587,3587,3588,36458,0.04690947,6.213957500000001e-06,238.81742999999997,3.1608799,84.36588,2.4939916,0.45189917,0.0049692077034340755,587725039561277592,0.9638015,194.22968,-3.113823200000001,9.265146000000001,9.217545,9.327202,-0.14351359,-0.4120112,0.15542865,-0.12829128,0.0,-4.68151207271558,1,8.489061999999999,8.32067,8.583271,8.451971,7.331380869150162,8.479836670160294,7.491242401599884,-0.7853095818498053,3588,15.46328523047696
3588,3588,3589,36460,0.02452358,8.035987e-06,632.6847,6.3264613,156.44269,3.8029926,0.6068319999999999,0.00282271712033291,587724648726200429,0.5650343000000001,193.83511000000001,-3.024632,9.759214,9.6836,9.859983,-0.17499995,-0.38026708,0.08004806,-0.15010951,0.0,-4.256440943588378,1,8.929897,8.922727,8.937068,8.929897,7.729558310508728,8.9151979970932,8.163650999069214,-0.8440163954295564,3589,55.59532680363367
3589,3589,3590,36481,0.05197619,5.47441e-06,231.74756000000002,2.8430352,66.9777,2.3659594,0.5390849,0.0046935718364351725,587724648189460613,0.4357534000000001,194.08803,-3.4139943,9.2054205,9.158307,9.26516,-0.025647521,-0.24269478,0.24666665,0.0019859374,0.0,-4.400964712734282,1,8.449063,8.276909,8.554117999999999,8.415514,7.555448222160339,8.724828600883484,7.86962851524353,-0.4805918991169845,3590,64.1667564182185
3590,3590,3591,36487,0.055803932,6.98e-06,1002.0116,7.713672,270.8681,4.063809399999999,0.5681149000000001,0.0019796824359636627,587724649263005925,0.4912043,193.71104,-2.5680218,9.765881,9.685412,9.893519,0.3197429,0.20265831,0.52132356,0.36199093,0.0,-3.7550163260327323,1,8.830538,8.823122999999997,8.837953,8.830538,7.630055233240127,8.80640280365944,7.99561856508255,-0.9594777697289684,3591,60.58023250608589
3591,3591,3592,36492,0.052264599999999994,5.5594805e-06,414.9592,4.0907135000000014,106.45924,2.7356314999999998,0.59082204,0.003066561413279325,587724648726134916,0.334092,193.67911999999998,-3.0378277000000002,9.509747500000001,9.423916,9.601878,-0.35878864,-0.44584757,-0.25029070000000003,-0.34806913,0.0,-3.1122168993849093,1,8.832353999999997,8.822114,8.850255,8.8361845,7.688412645459175,8.870209935307502,8.09416765809059,-0.6395375574764186,3592,70.48266760164898
3593,3593,3594,36516,0.046784353,7.231263999999999e-06,433.20775999999995,5.138731,116.51348,3.1640330000000003,0.57032007,0.0034613810639652037,587724649799745696,0.9183692,193.36555,-2.218963,9.988444,9.908221000000001,10.083588,-0.006030666999999999,-0.20947997,0.24957803,0.020049028,0.0,-4.258559514418487,1,8.968633,8.960705,8.976562,8.968634,7.635722579360008,8.812599396109583,8.005189102888107,-1.175844953259179,3594,23.31117738382961
3595,3595,3596,36530,0.016478825,1.0662845e-05,401.53232,4.3911304000000015,120.43496,3.396892,0.52296793,0.0039405540018517,587725041171562645,0.2345102000000001,193.56825,-2.0345676,9.350628,9.259433,9.46447,-0.6412760999999999,-0.84380794,-0.3727273,-0.6082675999999999,0.0,-4.307599549137647,1,8.929875,8.921562,8.938188,8.929874,7.514027591943741,8.679539896249771,7.799680836200714,-0.671088000792314,3596,76.43724749185237
3596,3596,3597,36533,0.04829935,6.485368e-06,167.8561,2.6115963,50.958378,2.1447556,0.51772153,0.005916142263763069,587724650873880711,0.8941031999999999,194.28267,-1.4180806000000001,9.360316000000001,9.307364999999999,9.4181385,-0.05127813,-0.29894337,0.22410268,-0.037420347,0.0,-4.555722118077321,1,8.673135,8.608719,8.724133,8.666426,7.500544341802595,8.664797509908675,7.776911456584929,-0.6955187633879106,3597,26.606529990918315
3599,3599,3600,36556,0.03508902,7.810357e-06,237.5989,3.0592797000000003,82.06676999999998,2.23902,0.46167707,0.004525454348818148,587724650337075280,0.7997911999999999,194.43356,-1.6287353999999998,9.359454,9.290179,9.463602,-0.28918552,-0.51767665,0.0006097184400000001,-0.25853348,0.0,-4.4684439249868895,1,8.690971000000001,8.6611,8.735735,8.698417999999998,7.356510081291199,8.507312579154968,7.533678503036499,-0.8521415944512888,3600,36.8898319538297
3600,3600,3601,36562,0.031564664,1.0049013e-05,82.1968,1.8138151999999998,23.039951000000002,1.9167813999999999,0.55237335,0.010477698993381829,587724650337075396,0.5999225,194.46983,-1.6929977999999999,9.001983000000003,8.928498,9.093169999999999,-0.8826086999999999,-1.2530435,-0.5562825,-0.9046629999999999,0.0,-4.928499553182763,1,8.584649,8.43757,8.672672,8.55512,7.5895995086431505,8.762169112563134,7.927300337553022,-0.23981357512250315,3601,53.13565268117934
3603,3603,3604,36571,0.047043525,8.878359e-06,98.38920999999999,2.3108132,31.440748,1.9288876,0.49545464,0.00911678260231027,587724650873946262,0.9196472,194.4343,-1.3761083,9.503333,9.430612,9.610173,-0.17580208,-0.42145592,0.13064514,-0.14540538,0.0,-4.581390201650664,1,8.712242999999999,8.66178,8.762661,8.712221000000001,7.4433184227347375,8.602227536141871,7.6802731341123565,-0.901105554358957,3604,23.125440636551055
3605,3605,3606,36654,0.047184393,7.743606999999999e-06,79.02355,2.0068517,26.121107000000002,1.8175713,0.48076496,0.010633428095189072,587725040635281573,0.34124720000000003,194.89207,-2.3017676,9.068158,9.013346,9.136453,-0.37294117,-0.65921795,-0.07743888,-0.36832842,0.0,-4.750238444112084,1,8.29608,8.152289999999999,8.464721,8.308506,7.405565935075282,8.560949524343014,7.6165199059247986,-0.5072086366980215,3606,70.04712154491142
3606,3606,3607,36715,0.05448836,8.812583e-06,266.8909,3.3149660000000005,64.48948,2.1717026,0.6168449,0.003766584991869587,587724649800663176,0.6090177,195.47726,-2.1674432999999995,10.268527,10.183048,10.364714,0.20958453,0.0050420337,0.47352955,0.23928579999999997,0.0,-4.287851968307597,1,9.075268,9.063996000000001,9.094285000000001,9.079141,7.755291373729706,8.943334147930145,8.207106833457948,-1.3251928797196886,3607,52.48148987859998
3607,3607,3608,36721,0.022740096,8.399873e-06,550.5768400000002,4.8779945,156.61084,3.2434564,0.5459961,0.0027827142016345363,587724650874339426,0.3568473,195.22707,-1.3466763000000002,9.799335000000001,9.725252000000001,9.895483,-0.09744888,-0.31347495,0.16382991,-0.07482252,0.0,-4.340399990741917,1,9.032354,9.023679,9.080934,9.052306,7.5732100528478625,8.744249123930931,7.899623202085495,-1.055085407676022,3608,69.09329632026864
3608,3608,3609,36723,0.056133162,5.5177948000000005e-06,571.59985,6.1707790000000005,144.34548999999996,3.386832,0.5976889,0.002832584668207105,587724650337403121,0.5953137,195.21005,-1.6546433,10.140471,10.052483,10.239655,0.13457449999999999,-0.016910134,0.35721640000000005,0.17015313,0.0,-3.94655732414048,1,9.050513,9.043362,9.057664,9.050512,7.706060507297517,8.889505846500398,8.123969883918763,-1.2509656152088702,3609,53.46500170801281
3611,3611,3612,36748,0.04670962,6.088405e-06,307.87585,3.774882,104.52691999999999,2.843433,0.46914747,0.004399591352733717,587725039025324197,0.6810626000000001,196.44246,-3.6520123,9.17121,9.119869,9.237143,-0.23539187,-0.44452646,0.031862836,-0.20633182,0.0,-4.344589714266246,1,8.715867,8.682493,8.735593,8.7090435,7.37570900708437,8.528304400742053,7.566100035309791,-0.6429058851676379,3612,47.07326573930384
3612,3612,3613,36775,0.046706795999999995,1.0914999e-05,93.10019,2.1829617000000003,27.119287,1.7938641,0.53567225,0.00887820876147292,587725039025389713,0.8794158999999999,196.46684,-3.5001276,9.39085,9.317797,9.483572,-0.45884702,-0.7288286999999999,-0.17121212,-0.45002043,0.0,-4.649821938027372,1,8.856558,8.8163185,8.917574,8.866946,7.546677675843237,8.715239015221595,7.854817553758623,-0.6756110720043973,3613,28.428016127697
3614,3614,3615,36890,0.047103177999999996,7.689962e-06,643.6498,6.1654367,178.95963,3.5699352999999996,0.55589455,0.0026720811034601022,587724648190115935,0.4412367,195.63898,-3.3389377999999996,9.649592,9.534447,9.778067,-0.02905057,-0.17691436,0.16111122,-0.007901571999999999,0.0,-3.8972048434652176,1,9.249557000000001,9.242161,9.256952,9.249557000000001,7.59864900290966,8.772063695788383,7.942582362890245,-0.8775287185934617,3615,63.81718588736709
3616,3616,3617,37103,0.05311288,1.2918748e-05,65.67049399999999,2.1111077999999996,24.767813,1.9850258,0.42348266,0.014144099750835797,587725040099131593,0.2837464000000001,196.52022,-2.6690211,9.4400015,9.372309,9.53075,-0.31273434,-0.57545435,-0.017261844,-0.29635809999999996,0.0,-4.619793216827189,1,8.782677,8.69706,8.848726,8.772893,7.258350427150726,8.399986264705657,7.367914729118347,-1.0400152340134057,3617,73.51607054589617
3617,3617,3618,37120,0.02755378,6.264728e-06,1184.4574,10.087494,352.7402,5.4606414,0.52606446,0.0022851962911423786,587724650874929209,0.3805066,196.70401,-1.2899268999999998,9.161874000000001,9.112756,9.225671,-0.016037645,-0.18629797,0.22905037,0.0213762,0.0,-4.1108744422025785,1,8.580176,8.563875,8.596138999999999,8.580008,7.521985650658608,8.688241119980812,7.813119736909868,-0.473632683837416,3618,67.63493384642362
3618,3618,3619,37156,0.044720996,5.9613853e-06,334.5322,3.6352087999999996,97.18489,2.5825273999999996,0.5368392,0.0036221617714559725,587725041173201007,0.505037,197.19936,-1.9922436000000001,9.51441,9.465667999999999,9.582361,0.062967405,-0.16985017,0.32676056,0.078455195,0.0,-4.448468249966667,1,8.683695,8.663935,8.698839999999999,8.681386999999999,7.549676710963249,8.718518115878105,7.859882072210313,-0.7958918987012814,3619,59.66619146372494
3619,3619,3620,37207,0.03105705,1.4547842e-05,71.38204,1.9366378,23.079908,2.3477266,0.4903549,0.014783090188227009,587725039563243734,0.3900715,198.85132,-3.2196592999999996,9.471468,9.38667,9.567953,-0.8939733,-1.6046666,-0.47631574,-1.0404911000000001,0.0,-5.349001231765898,1,8.765362,8.669471000000001,8.841159,8.755315,7.430212081670763,8.587897256612777,7.658140246868131,-0.8835707281423064,3620,67.0410515874124
3620,3620,3621,37210,0.030265925,1.1497337e-05,93.57053,2.1206509999999996,33.862095000000004,2.4288805,0.44142529999999996,0.011822648610506177,587725039563309264,0.5886475,198.97217,-3.248108,9.268651,9.208896000000001,9.349021,-0.33291122,-0.5997835,-0.043845937,-0.32181472,0.0,-4.631265995762576,1,8.547459,8.44192,8.6322975,8.537109,7.304463004767895,8.450405075252057,7.445785774588585,-0.8182459418145971,3621,53.93891066978895
3621,3621,3622,37212,0.047679868,1.2745897e-05,762.9838,8.851838,158.04523,4.6694384000000015,0.68373394,0.0028554409286766537,587725039563440143,0.8180135000000001,199.20908,-3.0627172000000003,10.865587,10.774517,10.957,0.67814136,0.518059,0.8517792,0.6849191,0.0,-3.8500765807311823,1,9.235427,9.194091,9.272406,9.233248,7.927196226119995,9.131292371749877,8.497405300140379,-1.7342948611148996,3622,35.11357095204054
3622,3622,3623,37225,0.04788893,8.383177e-06,387.34497000000016,5.017017,87.706055,3.3275208,0.64506835,0.003942269493186014,587725040637313268,0.4203097,199.57034,-2.4177787,9.5720005,9.495248,9.666646,-0.19307803,-0.33876038,-0.032247394,-0.18550389,0.0,-3.7383614827789,1,8.898889,8.883975999999997,8.957222,8.920599000000003,7.827825652956963,9.022642056345939,8.329596627950668,-0.5493584414245961,3623,65.14585831375294
3623,3623,3624,37234,0.042412135999999996,5.2252290000000006e-06,1252.512,9.670727000000001,364.5624,4.933523999999999,0.53600997,0.001969489107145728,587725039026307103,0.5117773,198.61253,-3.6101172,9.078153,9.01325,9.18201,-0.07318262,-0.160124,0.08835336,-0.035885323,0.0,-3.3697413149927367,1,8.609846000000001,8.591787,8.6266,8.609194,7.547545616030692,8.716188008189201,7.856283258199693,-0.36196463052520855,3624,59.217712520311906
3625,3625,3626,37239,0.04187373,1.6509348e-05,1367.1215,11.474364999999999,269.47064,5.2233105,0.7052956,0.0018081636752525427,587724648191426714,0.7245666999999999,198.65753,-3.3076372000000003,10.859805,10.767208,10.962864999999999,0.6119143,0.4819128,0.7757189,0.6288159000000001,0.0,-3.672039554869666,1,9.129832,9.122913,9.136752,9.129833,7.982609749436379,9.191880698800087,8.590983000993731,-1.6679244163677251,3626,43.56718569033075
3626,3626,3627,37263,0.027088273,6.540807e-06,1447.5753,11.4602995,331.894,5.643927,0.63964176,0.0018677727420046747,587725039026241686,0.3264709,198.4608,-3.5230656000000002,9.836791,9.74335,9.925331,-0.1177508,-0.22647561,0.02303037,-0.10172262,0.0,-3.4064533392430083,1,9.070021,9.063206,9.076835,9.070021,7.813879327774048,9.007393350601195,8.306045246124267,-0.8293976781415913,3627,70.94528714331649
3627,3627,3628,37268,0.043441564,9.502383e-06,325.8757,4.102278,72.34411999999998,2.8445084,0.65364873,0.003980425363394045,587724648191426641,0.9057122,198.54422,-3.2953975,10.249592,10.16307,10.347878999999999,0.15172075,-0.023767982000000003,0.37032515,0.17327859,0.0,-4.053687513509193,1,9.109739999999999,9.097646000000001,9.119634,9.10864,7.849877246618272,9.046752942800524,8.366835505962372,-1.2028388833593149,3628,25.080624116913036
3630,3630,3631,37284,0.026786817,7.893473e-06,395.50867,4.698908,100.4435,3.1672711,0.5952341999999999,0.003716535602572621,587724649265299583,0.7228348000000001,198.85814,-2.5573639999999997,9.674017999999998,9.584269,9.771761,-0.49201125,-0.6471488000000001,-0.28401622,-0.46558249999999995,0.0,-3.9450469425003294,1,9.072721000000001,9.063098,9.106596000000001,9.0848465,7.699751933217048,8.882608144879342,8.113316494226456,-0.7914097411890293,3631,43.71097451912657
3631,3631,3632,37285,0.029734322999999997,1.2425515000000001e-05,51.25427,1.5855522,19.378467999999998,1.9379787,0.42241059999999997,0.017188819673993775,587725040100114589,0.5590835999999999,198.74583,-2.7319999,9.032063,8.967752,9.115281,-0.6962615,-1.0697842,-0.39196438,-0.7308743000000001,0.0,-5.0047073736072845,1,8.427234,8.247463,8.572604,8.410034,7.255595260858536,8.396973806619645,7.36326203584671,-0.6350887012163137,3632,56.00755375792742
3632,3632,3633,37337,0.047450013,8.696424e-06,604.3567,6.2330885,147.87071,3.4898029999999998,0.61141115,0.0027368039701856878,587725040099786943,0.3919691,198.0276,-2.6822212000000003,9.930276,9.850742,10.029702,0.13121992,-0.010067818000000001,0.31988853,0.15491036,0.0,-3.801756307870325,1,9.071289,9.063606,9.078972,9.071289,7.741326666474342,8.928065343499181,8.183524409532549,-1.0022105831641095,3633,66.92292183853526
3634,3634,3635,37548,0.02790718,6.1744517999999996e-06,1971.1265,14.962758,433.70132,6.0649323,0.65752375,0.0015204563854941998,587724649802039347,0.2775209,198.61498999999998,-2.1310027000000002,10.184239,10.087330999999999,10.274538,0.26460429999999996,0.15895535,0.39620697,0.27758116,0.0,-3.3879374113435947,1,9.064515,9.048919999999999,9.075387,9.062153,7.859836040735242,9.057641741037367,8.383653080463409,-1.1265976375501214,3635,73.88770015828473
3635,3635,3636,37549,0.059347145,5.0298554e-06,759.9269400000003,6.4119787000000015,213.08917000000002,3.8501290999999997,0.55221045,0.0024284289179147983,587724649802104911,0.2775209,198.67558,-2.0595386,9.455081,9.370677,9.586683,0.12410852,0.007395315,0.34915242,0.17827387,0.0,-3.8062475722356783,1,8.666203999999999,8.649803,8.677451,8.663628,7.58918085694313,8.761711364984512,7.926593353748323,-0.6933696187528312,3636,73.88770015828473
3641,3641,3642,37640,0.047834537999999996,1.0037676e-05,76.938034,2.4873037,17.055376000000006,2.4382439,0.65427977,0.01411075386519724,587724650339238086,0.7788596,199.36005,-1.7685906999999998,9.253279,9.18765,9.336606,-0.35900614,-0.6639053,-0.052051038,-0.35797817,0.0,-4.803469880100474,1,8.475655,8.36508,8.576259,8.470669000000001,7.8514990049600595,9.048526149392126,8.36957419514656,-0.20475257069088887,3642,38.84372028055142
3642,3642,3643,37644,0.031046847000000002,1.7856466e-05,67.52203,2.0682726000000002,20.041912,2.1098182,0.52750635,0.014132922349753359,587725039563243734,0.5598806,198.85132,-3.2196592999999996,9.471176,9.386521,9.5677595,-0.8982051999999999,-1.5727271999999999,-0.47058818,-1.0216577,0.0,-5.332411246019653,1,8.731167999999998,8.643412,8.832172,8.737792,7.525691323280334,8.692292847633361,7.819377565383911,-0.7788833116372217,3643,55.952459160228884
3643,3643,3644,37650,0.03026126,1.3586993999999999e-05,88.88449,2.2810824,26.951958,2.314118,0.5182357,0.01180117602561378,587725039563309264,0.7551249,198.97217,-3.248108,9.2685375,9.208658,9.348889999999999,-0.3390373,-0.61683416,-0.045505393,-0.33116978,0.0,-4.6647399854829565,1,8.62619,8.551663000000001,8.700054,8.625858000000001,7.501865706443787,8.666242270469665,7.7791428661346425,-0.6022952652169421,3644,40.96371554706726
3644,3644,3645,37651,0.047657635,1.2748669e-05,815.34973,9.367417999999999,173.05556,4.808799,0.67315835,0.002771690730152172,587725039563440143,0.5204993,199.20908,-3.0627172000000003,10.865167,10.774125999999999,10.95669,0.6532885,0.49741850000000004,0.83449477,0.6659566,0.0,-3.847503912930263,1,9.224458,9.152311,9.236363,9.194338,7.9000169533491125,9.101574956774712,8.4515072286129,-1.7635917273105222,3645,58.634250484886785
3645,3645,3646,37659,0.047382377,1.8782360000000002e-05,45.272220000000004,2.1477497000000003,17.017326,2.2160182,0.42494047,0.022624934400676096,587725040637247619,0.3078026,199.36373999999998,-2.338676,9.365297,9.296045,9.455174000000001,-0.32805327,-0.9365078000000001,0.03558833,-0.45045975,0.0,-5.314956559989863,1,8.650847,8.461416999999999,8.773364,8.617391,7.262096999883653,8.404082711935043,7.374241626262663,-0.961214596792364,3646,72.07314524656925
