,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Z,Z err,H alpha flux,H alpha flux error,H beta flux,H beta flux error,BDec,BDec Err,objid,expAB_r,RA,DEC,StarMass,StarMass P16,StarMass P84,SFR,SFR P16,SFR P84,SFR err,SFR FLAG,SFR ENTROPY,GALAXY CLASS,12+LOG OH,12+LOG OH P16,12+LOG OH P84,12+LOG OH err,MDust_MCMC,MH2_MCMC,LCO_MCMC,GasFrac,NUMID,Inclination
3646,3646,3647,37668,0.047867287,7.947136e-06,395.09503,4.9596815,89.43281,3.003336,0.64520466,0.0035244205002162928,587725040637313268,0.5695891,199.57034,-2.4177787,9.5714655,9.494928,9.665835000000001,-0.23713867,-0.3765237,-0.076922916,-0.22672331,0.0,-3.6860993318325264,1,8.944496000000003,8.886229,8.955803,8.921016,7.828175984621048,9.023025103807447,8.330188238620758,-0.5484403915936069,3647,55.278422583680715
3649,3649,3650,37677,0.042414602,3.3799565e-06,1232.8295,9.286123,365.91702000000004,4.9218273,0.5275204000000001,0.0019871890103908066,587725039026307103,0.6288581999999999,198.61253,-3.6101172,9.078153,9.013338000000001,9.182035,-0.09386655,-0.18148743,0.07158594,-0.054950744,0.0,-3.424213215083492,1,8.607383,8.587495,8.624563,8.6060295,7.525727474689484,8.692332375049592,7.819438614845276,-0.38582026366481786,3650,51.03406724815309
3650,3650,3651,37679,0.041787844,6.6245565999999985e-06,1382.2457,11.1119995,256.03217,4.9970016,0.7322907,0.0016980038301693,587724648191426714,0.460708,198.65753,-3.3076372000000003,10.858038,10.765228,10.961624,0.6865559,0.56583804,0.8404569,0.7031475,0.0,-3.6068860528287368,1,9.129928999999999,9.123068,9.136789,9.129928999999999,8.051987060904503,9.267736825346947,8.708141573667525,-1.5903011363201365,3651,62.56719711058907
3651,3651,3652,37698,0.027071493,7.955555e-06,1323.4626,11.075769000000001,323.5271600000001,5.283703,0.6118009,0.0019482345378390754,587725039026241686,0.4056508,198.4608,-3.5230656000000002,9.835897000000001,9.743133,9.924657,-0.21533574,-0.33215392,-0.052414514,-0.19228421,0.0,-3.5562270747643794,1,9.070134,9.063241,9.077026,9.070133,7.742328336238861,8.929160554409027,8.185215945243835,-0.9067368994202324,3652,66.06808395398639
3654,3654,3655,37716,0.02974605,1.2056259e-05,49.274390000000004,1.6211958999999998,17.187414,1.8036865000000002,0.45741072,0.016660323635406663,587725040100114589,0.5625571,198.74583,-2.7319999,9.032179,8.968011,9.115686,-0.70772713,-1.0582677,-0.40321112,-0.7307394,0.0,-4.980968094251911,1,8.473821000000001,8.312484,8.59788,8.455182,7.345545558035374,8.495324131548404,7.5151625376939775,-0.5368547426611553,3655,55.767176637089506
3656,3656,3657,37723,0.026782088,1.1880736e-05,386.50507000000016,4.581167,104.06066,3.1978276,0.5698686,0.0038512349316527283,587724649265299583,0.2362641,198.85814,-2.5573639999999997,9.673926,9.584225,9.771662,-0.5212962000000001,-0.68779683,-0.29895809999999995,-0.49337745,0.0,-4.0261169744285175,1,9.074553,9.060322,9.111162,9.085742,7.634562364220619,8.811330834031105,8.003229829072952,-0.8625955238312535,3657,76.33385114524133
3658,3658,3659,37773,0.047476082999999995,8.407854e-06,583.85657,6.424478,147.68225,3.4451970000000003,0.5969779000000001,0.002833434426837408,587725040099786943,0.5708486,198.0276,-2.6822212000000003,9.930937,9.851417,10.029789,0.08803569,-0.062499765,0.29331,0.11540511,0.0,-3.930995695820392,1,9.073542999999999,9.064325,9.10724,9.085783000000001,7.704233176112175,8.887507869601249,8.120884040594099,-1.0434289551231923,3659,55.19057756629212
3660,3660,3661,37988,0.02790975,6.572891400000001e-06,1976.3004,14.665536,454.13742,5.567584,0.6386656999999999,0.001430157179242408,587724649802039347,0.8734999,198.61498999999998,-2.1310027000000002,10.184282000000001,10.087369,10.275027,0.18003848,0.06842541,0.34488297,0.20665419,0.0,-3.538299890938702,1,9.104285,9.072369,9.114971,9.09367,7.811370787620544,9.004650549888611,8.301809034347535,-1.1796317443248612,3661,29.132066597252035
3661,3661,3662,37990,0.059349123,4.856101e-06,781.1039999999997,6.5922202999999975,217.14,3.4935107000000003,0.55596906,0.0021934188035825832,587724649802104911,0.6631573000000001,198.67558,-2.0595386,9.455081,9.370696,9.586683,0.12201209,0.008565769,0.36360285,0.18608429999999998,0.0,-3.7953254316089846,1,8.670344,8.660064,8.682316,8.67119,7.598840482831001,8.772273057103156,7.94290571808815,-0.682807926634187,3662,48.458886706310075
3667,3667,3668,38080,0.047814224,9.698467e-06,66.25161,1.7682799999999999,15.433476999999998,1.6551627,0.6327326,0.01118093448026205,587724650339238086,0.2222808,199.36005,-1.7685906999999998,9.252825,9.187208,9.336392,-0.38040003,-0.6893047,-0.07787865,-0.38359168,0.0,-4.798284568142793,1,8.483297,8.331682,8.582373,8.457027,7.796122858524322,8.987978689670562,8.276059613227844,-0.26484607970752866,3668,77.15696923817997
